feature_1	feature_2	feature_3	feature_4	feature_5	feature_6	feature_7	feature_8	feature_9	feature_10	feature_11	feature_12	feature_13	feature_14	feature_15	feature_16	feature_17	feature_18	feature_19	feature_20	feature_21	feature_22	feature_23	feature_24	feature_25	feature_26	feature_27	feature_28	feature_29	feature_30
t14	0.202	0.009	0.293	0.429	-0.122	-0.204	0.152	-0.186	0.155	-0.516	0.437	0.032	0.004	-0.168	0.153	0.462	0.163	-0.525	-0.083	0.218	-0.005	0.243	-0.755	-0.145	-0.268	-0.432	0.879	-0.229	-0.101	-0.091
t7	0.251	0.242	0.031	0.426	0.199	0.073	0.105	-0.023	0.118	-0.716	0.959	0.078	0.018	-1.07	0.161	0.04	0.103	-0.304	0.092	0.282	0.013	0.243	-0.244	-0.116	-0.159	-0.004	-0.138	-0.409	-0.129	-0.121
t33	0.242	0.199	0.119	0.693	-0.164	-0.045	0.158	-0.221	-0.005	-0.801	0.61	0.034	-0.151	0.335	0.195	-0.05	-0.067	-0.428	0.007	0.247	-0.016	0.329	-0.878	-0.143	-0.425	0.378	0.274	-0.278	-0.103	-0.046
t24	0.084	0.353	0.017	0.215	-0.278	0.094	0.206	-0.126	0.035	-0.727	0.555	-0.138	-0.104	-0.043	0.25	0.104	0.067	-0.081	-0.022	0.27	-0.011	0.212	0.266	-0.279	-0.388	-0.339	0.016	-0.169	0.097	-0.137
t19	-0.007	0.149	0.193	0.551	0.11	-0.117	0.175	-0.08	-0.173	-0.596	0.306	-0.145	0.026	-0.175	0.119	0.04	0.031	-0.405	-0.026	0.053	-0.022	0.401	0.113	-0.41	-0.359	0.355	0.556	-0.298	-0.268	-0.096
t15	0.158	0.361	-0.131	0.278	-0.026	0.002	0.091	-0.174	-0.084	-0.399	0.772	0.253	-0.061	-0.034	-0.018	0.045	0.123	-0.321	-0.088	0.096	-0.022	0.172	-0.074	-0.069	-0.383	0.527	-0.379	-0.501	-0.099	-0.016
t34	0.084	0.187	0.026	0.655	0.033	-0.068	0.309	-0.067	0.267	-0.632	0.529	0.044	0.001	0.36	0.172	0.075	0.109	-0.596	-0.016	0.413	-0.011	0.022	-1.565	-0.217	-0.129	0.139	0.057	-0.138	-0.082	0.039
t37	0.168	0.531	-0.067	0.507	-0.121	-0.076	0.065	-0.18	-0.128	-0.433	0.199	-0.006	-0.035	-0.362	0.219	0.17	-0.048	-0.27	-0.145	0.432	-0.022	0.161	-0.195	-0.159	-0.44	0.146	0.401	-0.431	0.243	-0.125
t42	0.168	0.085	0.326	0.664	-0.142	-0.094	-0.163	-0.085	-0.091	-0.672	0.568	-0.127	-0.039	0.364	0.206	-0.112	0.037	-0.162	-0.27	0.3	-0.039	0.005	-1.058	-0.334	-0.22	0.278	0.96	-0.364	0.076	-0.066
t29	0.033	0.211	0.368	0.701	-0.188	-0.2	0.289	-0.264	-0.102	-0.92	0.752	0.163	-0.071	-0.064	0.096	0.158	0.051	-0.366	-0.207	0.156	-0.003	-0.064	0.122	-0.22	-0.111	0.341	-0.411	-0.18	-0.079	0.01
t36	0.159	0.445	0.154	0.674	-0.156	0.055	-0.255	0.06	-0.092	-0.819	0.393	0.19	-0.051	0	0.032	0.075	0.112	-0.457	0.012	0.32	0.005	0.069	-0.357	-0.171	-0.233	0.249	0.045	-0.075	-0.318	-0.061
