V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	V15	V16	V17	V18	V19	V20	V21	V22	V23	V24	V25	V26	V27	V28	V29	V30
t39	-4.373	-3.007	-5.316	-2.42	-5.795	-3.704	-4.803	-5.659	-2.583	-3.623	-3.737	-4.817	-4.77	-1.305	-3.292	-5.786	-3.412	-4.348	-4.28	-4.948	-4.515	-5.43	-4.063	-3.917	-3.759	-4.201	-4.234	-1.985	-3.749	-4.03
t185	-6.041	-4.338	-5.706	-6.828	-5.169	-7.377	-2.721	-6.003	-4.582	-5.665	-1.749	-5.805	-5.304	-2.417	-1.109	-5.891	-4.317	-7.046	-5.276	-5.082	-4.344	-8.688	-5.716	-5.231	-5.656	-4.934	-4.641	-2.952	-4.822	-1.833
t193	-3.608	-5.288	-4.566	-5.685	-4.617	-4.724	-3.078	-4.498	-4.355	-5.263	-2.578	-4.274	-3.753	-2.325	-2.784	-5.887	-3.208	-4.501	-3.62	-3.039	-2.503	-5.882	-3.332	-3.6	-4.66	-4.321	-2.892	-2.25	-3.124	-2.489
t73	-7.39	-4.561	-6.652	-9.301	-6.485	-10.109	-2.219	-6.671	-6.346	-7.404	-1.229	-6.945	-6.193	-3.521	-1.107	-6.753	-5.322	-8.985	-6.317	-5.954	-4.971	-10.821	-7.385	-6.551	-7.167	-5.898	-5.425	-4.004	-5.68	-1.78
t124	-3.908	-5.868	-4.509	-5.235	-4.384	-4.27	-3.419	-5.864	-3.607	-4.522	-2.948	-4.358	-3.944	-1.894	-1.933	-5.699	-3.334	-3.967	-3.807	-3.474	-3.223	-5.951	-3.343	-3.482	-4.432	-4.32	-3.188	-2.172	-3.612	-2.92
t121	-3.106	-6.324	-4.468	-4.155	-4.442	-2.673	-4.712	-5.306	-3.364	-4.461	-4.376	-4.057	-3.696	-2.147	-3.877	-6.238	-3.225	-3.056	-3.45	-3.214	-3.073	-4.404	-2.63	-3.137	-4.033	-4.459	-3.01	-2.126	-3.172	-3.993
t135	-3.635	-5.759	-4.363	-5.214	-4.539	-3.995	-3.476	-5.327	-3.87	-4.71	-3.031	-4.197	-3.816	-2.022	-2.385	-5.763	-3.184	-3.861	-3.601	-3.245	-2.878	-5.867	-3.108	-3.348	-4.337	-4.274	-2.988	-2.152	-3.325	-3.051
t142	-5.226	-1.991	-6.055	-1.898	-6.301	-4.382	-5.301	-6.002	-2.375	-3.606	-3.926	-5.506	-5.506	-1.297	-3.548	-6.031	-3.872	-5.322	-4.998	-6.083	-5.52	-5.691	-5.096	-4.645	-3.966	-4.481	-5.197	-2.204	-4.346	-4.227
t169	-3.454	-4.618	-4.523	-5.421	-5.05	-4.513	-3.196	-4.068	-4.422	-5.395	-2.649	-4.209	-3.692	-2.363	-3.349	-6.021	-3.113	-4.513	-3.476	-3.033	-2.431	-5.728	-3.398	-3.592	-4.518	-4.306	-2.793	-2.196	-2.826	-2.713
t153	-2.933	-5.197	-4.92	-4.423	-4.945	-3.639	-4.101	-4.391	-3.972	-4.859	-3.836	-4.055	-3.62	-2.317	-3.882	-6.2	-3.082	-3.516	-3.391	-2.843	-2.561	-4.484	-2.829	-3.202	-4.264	-4.284	-2.743	-2.153	-2.84	-3.748
t117	-3.666	-3.895	-4.693	-5.265	-5.26	-5.011	-2.973	-4.085	-4.233	-5.327	-2.297	-4.392	-3.777	-2.162	-3.21	-6.071	-3.179	-4.833	-3.629	-3.417	-2.734	-5.653	-3.849	-3.802	-4.52	-4.301	-3.038	-2.093	-2.85	-2.625
t96	-3.893	-4.402	-4.721	-6.436	-5.285	-5.657	-2.561	-4.128	-4.957	-5.965	-1.942	-4.522	-3.837	-2.598	-2.959	-6.163	-3.342	-5.326	-3.74	-3.201	-2.483	-6.362	-4.07	-4.008	-5.008	-4.502	-2.922	-2.409	-3	-2.257
t4	-3.133	-3.482	-5.071	-4.679	-5.812	-4.68	-3.5	-3.075	-4.5	-5.511	-2.954	-4.256	-3.728	-2.506	-4.606	-6.36	-3.075	-4.61	-3.463	-3.128	-2.339	-5.061	-3.453	-3.696	-4.48	-4.272	-2.781	-2.186	-2.441	-3.09
t126	-2.746	-5.465	-4.707	-5.428	-5.578	-3.991	-3.818	-3.813	-4.907	-5.744	-3.625	-4.054	-3.487	-2.9	-4.751	-6.698	-3.149	-3.769	-3.248	-2.648	-2.087	-4.752	-2.842	-3.351	-4.635	-4.55	-2.458	-2.426	-2.505	-3.724
t173	-3.075	-4.486	-4.732	-5.1	-5.471	-4.324	-3.466	-3.892	-4.506	-5.441	-3.018	-4.135	-3.575	-2.46	-3.995	-6.327	-3.063	-4.149	-3.344	-2.905	-2.342	-4.988	-3.277	-3.453	-4.468	-4.345	-2.647	-2.18	-2.582	-3.33
t45	-2.606	-5.951	-5.049	-3.118	-6.291	-1.67	-6.485	-4.568	-4.111	-5.032	-6.083	-4.209	-4.06	-2.952	-7.044	-7.329	-3.408	-2.774	-3.449	-3.422	-3.168	-3.5	-2.436	-3.29	-4.035	-4.941	-3.169	-2.602	-2.828	-5.969
t198	-3.378	-4.021	-4.693	-4.944	-5.521	-4.589	-3.24	-3.902	-4.259	-5.231	-2.644	-4.251	-3.734	-2.229	-3.665	-6.113	-3.084	-4.451	-3.485	-3.264	-2.545	-5.519	-3.466	-3.614	-4.415	-4.248	-2.857	-2.105	-2.697	-2.921
t149	-2.594	-5.811	-4.84	-6.031	-6.129	-4.17	-3.986	-3.51	-5.653	-6.399	-3.928	-4.118	-3.497	-3.428	-5.53	-7.141	-3.267	-3.826	-3.221	-2.424	-1.828	-4.826	-2.839	-3.44	-4.939	-4.833	-2.322	-2.712	-2.358	-4.181
t58	-3.355	-4.268	-4.769	-3.872	-5.144	-3.726	-3.971	-4.711	-3.467	-4.437	-3.366	-4.196	-3.833	-1.848	-3.493	-5.959	-3.072	-3.821	-3.541	-3.466	-3.076	-4.751	-3.253	-3.399	-4.032	-4.152	-3.09	-1.956	-2.962	-3.449
t162	-2.468	-6.957	-4.865	-4.474	-5.762	-2.202	-5.727	-4.65	-4.698	-5.481	-5.627	-4.058	-3.743	-3.226	-6.2	-7.257	-3.371	-2.724	-3.289	-2.717	-2.576	-3.73	-2.273	-3.121	-4.405	-4.971	-2.703	-2.706	-2.802	-5.473
t3	-3.409	-4.329	-4.804	-3.985	-5.039	-3.86	-3.853	-4.592	-3.418	-4.42	-3.254	-4.227	-3.854	-1.836	-3.383	-5.929	-3.103	-3.901	-3.595	-3.526	-3.065	-4.969	-3.247	-3.436	-4.053	-4.132	-3.111	-1.952	-3	-3.315
t176	-3.229	-5.949	-4.987	-8.43	-6.407	-6.028	-2.883	-3.223	-7.239	-7.949	-2.795	-4.522	-3.656	-4.257	-5.027	-7.393	-3.598	-5.333	-3.51	-2.175	-1.392	-6.355	-3.761	-4.076	-5.965	-5.261	-2.261	-3.274	-2.57	-3.275
t130	-5.717	-2.701	-5.941	-6.294	-5.928	-7.761	-2.486	-5.108	-4.757	-5.867	-1.394	-5.729	-5.137	-2.361	-1.817	-6.021	-4.088	-7.249	-5.071	-4.963	-4.095	-8.033	-5.936	-5.247	-5.561	-4.776	-4.469	-2.772	-4.272	-1.903
t116	-3.994	-3.513	-5.086	-6.435	-5.816	-6.214	-2.433	-3.69	-5.312	-6.215	-1.791	-4.678	-4.004	-2.725	-3.113	-6.236	-3.356	-5.756	-3.856	-3.265	-2.432	-6.436	-4.399	-4.19	-5.151	-4.498	-3.005	-2.498	-2.949	-2.326
t52	-4.883	-2.193	-5.3	-5.163	-6.004	-6.339	-2.772	-4.493	-4.162	-5.361	-1.702	-5.152	-4.607	-1.992	-2.662	-5.996	-3.595	-6.263	-4.417	-4.697	-3.746	-6.844	-5.219	-4.67	-4.809	-4.439	-3.986	-2.291	-3.49	-2.255
