V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	V15	V16	V17	V18	V19	V20	V21	V22	V23	V24	V25	V26	V27	V28	V29	V30	V31
1	0.032	-0.037	0.03	0.118	0.06	0.001	-0.057	-0.054	-0.049	-0.018	0.029	0.018	0.02	0.061	0.054	0.094	0.032	-0.049	0.008	-0.063	-0.034	-0.036	-0.079	-0.024	-0.022	0.028	-0.06	-0.033	0.08	0.06	-0.048
2	-0.037	0.054	-0.043	-0.172	-0.079	-0.016	0.074	0.03	0.079	0.024	-0.039	-0.025	-0.028	-0.102	-0.077	-0.129	-0.046	0.065	-0.011	0.081	0.048	0.076	0.11	0.034	0.031	-0.055	0.082	0.035	-0.134	-0.096	0.063
3	0.03	-0.043	0.035	0.138	0.064	0.013	-0.06	-0.026	-0.063	-0.019	0.032	0.02	0.022	0.082	0.062	0.104	0.037	-0.052	0.009	-0.064	-0.039	-0.061	-0.088	-0.028	-0.025	0.044	-0.065	-0.028	0.107	0.077	-0.051
4	0.118	-0.172	0.138	0.551	0.253	0.053	-0.237	-0.094	-0.254	-0.075	0.126	0.08	0.089	0.328	0.248	0.413	0.147	-0.206	0.034	-0.256	-0.154	-0.245	-0.353	-0.111	-0.099	0.177	-0.259	-0.111	0.429	0.308	-0.202
5	0.06	-0.079	0.064	0.253	0.121	0.016	-0.114	-0.072	-0.113	-0.036	0.06	0.037	0.042	0.144	0.114	0.195	0.068	-0.098	0.016	-0.124	-0.072	-0.099	-0.165	-0.051	-0.046	0.073	-0.123	-0.058	0.188	0.137	-0.097
6	0.001	-0.016	0.013	0.053	0.016	0.021	-0.014	0.044	-0.032	-0.005	0.008	0.007	0.007	0.045	0.023	0.03	0.014	-0.013	0.002	-0.012	-0.012	-0.048	-0.029	-0.011	-0.009	0.032	-0.018	0.003	0.058	0.038	-0.012
7	-0.057	0.074	-0.06	-0.237	-0.114	-0.014	0.108	0.071	0.105	0.034	-0.056	-0.035	-0.04	-0.134	-0.107	-0.183	-0.064	0.093	-0.016	0.118	0.068	0.091	0.155	0.048	0.043	-0.067	0.116	0.056	-0.175	-0.128	0.091
8	-0.054	0.03	-0.026	-0.094	-0.072	0.044	0.071	0.26	0.021	0.024	-0.035	-0.017	-0.022	-0.013	-0.047	-0.097	-0.026	0.044	-0.012	0.081	0.033	-0.039	0.077	0.02	0.019	0.024	0.068	0.064	-0.024	-0.047	0.058
9	-0.049	0.079	-0.063	-0.254	-0.113	-0.032	0.105	0.021	0.12	0.034	-0.056	-0.036	-0.04	-0.157	-0.114	-0.186	-0.068	0.092	-0.015	0.112	0.07	0.124	0.16	0.051	0.045	-0.089	0.116	0.045	-0.206	-0.147	0.089
10	-0.018	0.024	-0.019	-0.075	-0.036	-0.005	0.034	0.024	0.034	0.011	-0.018	-0.011	-0.013	-0.043	-0.034	-0.058	-0.02	0.029	-0.005	0.037	0.021	0.03	0.049	0.015	0.014	-0.022	0.037	0.017	-0.056	-0.042	0.029
11	0.029	-0.039	0.032	0.126	0.06	0.008	-0.056	-0.035	-0.056	-0.018	0.03	0.018	0.021	0.071	0.057	0.096	0.034	-0.048	0.008	-0.061	-0.036	-0.05	-0.082	-0.026	-0.023	0.036	-0.06	-0.029	0.093	0.067	-0.048
12	0.018	-0.025	0.02	0.08	0.037	0.007	-0.035	-0.017	-0.036	-0.011	0.018	0.012	0.013	0.046	0.036	0.06	0.021	-0.03	0.005	-0.038	-0.022	-0.034	-0.051	-0.016	-0.014	0.024	-0.038	-0.017	0.061	0.044	-0.03
13	0.02	-0.028	0.022	0.089	0.042	0.007	-0.04	-0.022	-0.04	-0.013	0.021	0.013	0.015	0.052	0.04	0.068	0.024	-0.034	0.006	-0.043	-0.025	-0.037	-0.058	-0.018	-0.016	0.027	-0.043	-0.02	0.067	0.049	-0.034
14	0.061	-0.102	0.082	0.328	0.144	0.045	-0.134	-0.013	-0.157	-0.043	0.071	0.046	0.052	0.207	0.147	0.238	0.088	-0.117	0.019	-0.142	-0.09	-0.167	-0.206	-0.066	-0.059	0.119	-0.149	-0.054	0.271	0.192	-0.114
15	0.054	-0.077	0.062	0.248	0.114	0.023	-0.107	-0.047	-0.114	-0.034	0.057	0.036	0.04	0.147	0.112	0.186	0.066	-0.093	0.015	-0.116	-0.069	-0.109	-0.159	-0.05	-0.045	0.079	-0.117	-0.051	0.192	0.139	-0.091
16	0.094	-0.129	0.104	0.413	0.195	0.03	-0.183	-0.097	-0.186	-0.058	0.096	0.06	0.068	0.238	0.186	0.315	0.11	-0.16	0.026	-0.2	-0.117	-0.169	-0.267	-0.083	-0.075	0.124	-0.199	-0.091	0.312	0.225	-0.156
17	0.032	-0.046	0.037	0.147	0.068	0.014	-0.064	-0.026	-0.068	-0.02	0.034	0.021	0.024	0.088	0.066	0.11	0.039	-0.055	0.009	-0.069	-0.041	-0.065	-0.094	-0.03	-0.027	0.047	-0.069	-0.03	0.114	0.082	-0.054
18	-0.049	0.065	-0.052	-0.206	-0.098	-0.013	0.093	0.044	0.092	0.029	-0.048	-0.03	-0.034	-0.117	-0.093	-0.16	-0.055	0.083	-0.013	0.102	0.059	0.081	0.134	0.041	0.037	-0.061	0.1	0.047	-0.153	-0.109	0.079
19	0.008	-0.011	0.009	0.034	0.016	0.002	-0.016	-0.012	-0.015	-0.005	0.008	0.005	0.006	0.019	0.015	0.026	0.009	-0.013	0.002	-0.017	-0.01	-0.012	-0.022	-0.007	-0.006	0.009	-0.017	-0.008	0.025	0.018	-0.013
20	-0.063	0.081	-0.064	-0.256	-0.124	-0.012	0.118	0.081	0.112	0.037	-0.061	-0.038	-0.043	-0.142	-0.116	-0.2	-0.069	0.102	-0.017	0.13	0.073	0.094	0.168	0.051	0.047	-0.07	0.126	0.062	-0.185	-0.134	0.1
21	-0.034	0.048	-0.039	-0.154	-0.072	-0.012	0.068	0.033	0.07	0.021	-0.036	-0.022	-0.025	-0.09	-0.069	-0.117	-0.041	0.059	-0.01	0.073	0.043	0.065	0.099	0.031	0.028	-0.047	0.073	0.033	-0.117	-0.084	0.057
