V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	V15	V16	V17	V18	V19	V20	V21	V22	V23	V24	V25	V26	V27	V28	V29	V30
t88	0.04	0.001	0.002	0.006	0.012	0.025	0.037	0.025	0.146	0.012	0.007	0.005	0.004	0.018	0.046	0.049	0.019	0.075	0.094	0.086	0.063	0.01	0.014	0.059	0.047	0.006	0.009	0.066	0.007	0.009
t133	0.041	0.001	0.002	0.003	0.005	0.025	0.035	0.025	0.218	0.007	0.005	0.002	0.002	0.012	0.024	0.03	0.014	0.071	0.104	0.12	0.074	0.006	0.008	0.063	0.024	0.003	0.005	0.062	0.005	0.005
t155	0.04	0.001	0.001	0.006	0.011	0.024	0.038	0.025	0.147	0.012	0.007	0.005	0.004	0.018	0.045	0.049	0.019	0.075	0.094	0.087	0.063	0.01	0.014	0.059	0.046	0.006	0.009	0.066	0.007	0.009
t194	0.015	0.003	0.004	0.015	0.053	0.013	0.02	0.011	0.019	0.024	0.009	0.021	0.012	0.03	0.148	0.103	0.024	0.038	0.031	0.014	0.018	0.02	0.045	0.021	0.167	0.015	0.025	0.036	0.009	0.035
t17	0.033	0.002	0.003	0.01	0.023	0.023	0.034	0.022	0.081	0.018	0.009	0.01	0.007	0.025	0.08	0.074	0.024	0.068	0.073	0.052	0.046	0.015	0.025	0.047	0.085	0.009	0.015	0.062	0.009	0.017
t63	0.016	0.003	0.008	0.015	0.052	0.015	0.021	0.012	0.021	0.023	0.009	0.019	0.012	0.03	0.144	0.103	0.025	0.04	0.033	0.015	0.019	0.019	0.046	0.022	0.162	0.013	0.025	0.038	0.01	0.033
t100	0.026	0.002	0.004	0.012	0.034	0.02	0.029	0.018	0.049	0.021	0.01	0.014	0.009	0.028	0.107	0.089	0.026	0.058	0.055	0.033	0.034	0.017	0.034	0.037	0.117	0.011	0.02	0.053	0.01	0.024
t108	0.029	0.002	0.006	0.011	0.028	0.023	0.032	0.02	0.066	0.019	0.009	0.011	0.008	0.026	0.091	0.081	0.025	0.064	0.065	0.043	0.041	0.015	0.03	0.043	0.098	0.01	0.017	0.059	0.009	0.02
t38	0.005	0.003	0.005	0.017	0.089	0.005	0.007	0.004	0.003	0.022	0.006	0.032	0.015	0.024	0.192	0.099	0.016	0.014	0.008	0.002	0.004	0.019	0.058	0.006	0.231	0.016	0.028	0.014	0.007	0.05
t27	0.038	0	0	0.001	0.002	0.019	0.029	0.022	0.318	0.003	0.003	0.001	0.001	0.006	0.009	0.013	0.008	0.058	0.103	0.16	0.077	0.003	0.003	0.059	0.009	0.001	0.002	0.049	0.002	0.002
t74	0.012	0.003	0.005	0.016	0.061	0.011	0.016	0.009	0.012	0.024	0.008	0.023	0.013	0.029	0.161	0.105	0.023	0.031	0.023	0.009	0.013	0.02	0.05	0.016	0.184	0.015	0.027	0.03	0.009	0.038
t153	0.006	0.003	0.004	0.017	0.083	0.006	0.009	0.005	0.004	0.023	0.006	0.031	0.015	0.026	0.187	0.101	0.018	0.017	0.01	0.003	0.006	0.02	0.056	0.007	0.223	0.016	0.028	0.017	0.007	0.048
t41	0.038	0	0.001	0.002	0.002	0.021	0.029	0.022	0.307	0.004	0.003	0.001	0.001	0.006	0.01	0.015	0.008	0.059	0.103	0.157	0.077	0.003	0.003	0.06	0.01	0.002	0.002	0.05	0.003	0.002
t132	0.03	0.002	0.006	0.01	0.026	0.024	0.033	0.021	0.07	0.018	0.009	0.01	0.007	0.026	0.088	0.079	0.025	0.065	0.068	0.045	0.043	0.015	0.028	0.044	0.094	0.009	0.017	0.059	0.009	0.019
t70	0.037	0	0	0.001	0.001	0.018	0.027	0.02	0.341	0.003	0.003	0.001	0.001	0.005	0.007	0.011	0.006	0.054	0.1	0.169	0.076	0.002	0.002	0.057	0.007	0.001	0.002	0.045	0.002	0.001
t6	0.041	0.001	0.001	0.003	0.005	0.024	0.035	0.025	0.235	0.006	0.005	0.002	0.002	0.01	0.02	0.026	0.012	0.069	0.105	0.127	0.075	0.005	0.007	0.063	0.02	0.003	0.005	0.06	0.004	0.004
t22	0.014	0.003	0.006	0.016	0.056	0.013	0.018	0.011	0.016	0.024	0.009	0.021	0.012	0.03	0.152	0.104	0.024	0.036	0.028	0.012	0.016	0.02	0.047	0.019	0.173	0.014	0.026	0.034	0.009	0.036
t76	0.024	0.002	0.004	0.013	0.037	0.019	0.028	0.017	0.042	0.022	0.01	0.015	0.01	0.029	0.115	0.092	0.026	0.055	0.051	0.029	0.031	0.018	0.035	0.034	0.126	0.012	0.021	0.051	0.01	0.026
t86	0.035	0.002	0.002	0.009	0.02	0.023	0.036	0.023	0.096	0.016	0.009	0.009	0.006	0.023	0.071	0.067	0.023	0.071	0.079	0.06	0.051	0.014	0.022	0.05	0.074	0.009	0.014	0.064	0.008	0.015
t107	0.027	0.002	0.006	0.011	0.031	0.022	0.031	0.019	0.056	0.02	0.01	0.012	0.008	0.027	0.1	0.086	0.025	0.06	0.059	0.037	0.037	0.016	0.033	0.039	0.108	0.011	0.019	0.056	0.009	0.022
