feature_1	feature_2	feature_3	feature_4	feature_5	feature_6	feature_7	feature_8	feature_9	feature_10	feature_11	feature_12	feature_13	feature_14	feature_15	feature_16	feature_17	feature_18	feature_19	feature_20	feature_21	feature_22	feature_23	feature_24	feature_25	feature_26	feature_27	feature_28	feature_29	feature_30
t46	-3.783	-6.2	-3.114	-4.284	-3.827	-5.034	-3.257	-3.585	-3.56	-3.203	-3.413	-3.948	-2.948	-4.588	-2.317	-3.89	-4.467	-4.18	-1.197	-3.613	-4.017	-4.568	-4.221	-4.701	-4.539	-4.122	-3.733	-4.049	-4.464	-3.456
t49	-4.635	-2.954	-5.107	-4.611	-4.122	-5.288	-4.735	-4.852	-4.88	-5.703	-5.108	-4.746	-4.614	-5.063	-4.535	-5.305	-4.994	-3.511	-3.653	-5.816	-5.135	-5.973	-4.524	-0.44	-3.745	-5.34	-5.41	-5.049	-2.881	-5.94
t11	-3.89	-4.238	-2.327	-2.952	-4.267	-2.766	-4.282	-3.966	-3.473	-3.693	-4.783	-3.851	-3.534	-3.726	-1.798	-3.542	-3.679	-3.069	-3.162	-3.479	-4.416	-3.602	-3.37	-5.393	-3.196	-3.653	-3.537	-4.314	-3.487	-4.698
t26	-3.342	-3.844	-3.879	-3.631	-4.258	-5.598	-4.855	-4.995	-3.914	-3.265	-4.337	-4.045	-2.413	-2.149	-1.961	-4.327	-3.768	-3.932	-4.117	-3.139	-4.341	-3.419	-3.869	-2.385	-4.264	-3.835	-3.238	-3.731	-3.392	-3.852
t32	-3.967	-2.164	-3.137	-4.243	-3.973	-4.75	-2.784	-3.495	-3.83	-2.599	-4.018	-3.977	-1.85	-2.405	-3.81	-4.468	-3.564	-3.402	-3.49	-4.07	-4.937	-4.445	-4.237	-5.681	-3.799	-3.656	-3.939	-5.11	-3.142	-4.432
t22	-3.736	-4.336	-4.603	-2.328	-3.779	-2.089	-4.221	-4.289	-4.144	-3.01	-4.554	-3.774	-3.064	-2.707	-3.166	-3.837	-2.939	-2.929	-3.544	-2.529	-6.329	-3.844	-3.557	-8.292	-3.739	-3.678	-3.564	-4.287	-3.471	-4.164
t44	-3.326	-3.852	-4.859	-2.639	-4.179	-5.944	-3.909	-3.357	-3.524	-3.247	-4.65	-3.849	-3.576	-4	-2.629	-4.684	-3.525	-3.215	-4.904	-3.318	-5.094	-2.838	-4.072	-1.693	-3.918	-3.875	-4.013	-3.043	-2.614	-5.243
t29	-3.945	-2.549	-5.185	-3.156	-3.481	-4.512	-4.633	-3.397	-3.869	-3.972	-4.263	-3.866	-1.727	-4.668	-3.577	-4.381	-4.061	-4.029	-2.77	-5.476	-5.811	-3.095	-3.926	-2.269	-3.058	-3.998	-2.707	-3.587	-3.952	-4.214
t41	-3.586	-3.916	-4.853	-3.582	-3.697	-2.806	-4.162	-3.963	-3.835	-4.276	-3.089	-3.769	-3.311	-4.292	-3.253	-4.124	-3.019	-3.872	-1.695	-3.696	-3.312	-2.896	-3.804	-4.574	-3.396	-3.705	-4.133	-4.884	-3.062	-2.868
t16	-3.702	-3.334	-3.831	-4.235	-3.905	-5.509	-5.225	-3.92	-4.423	-4.859	-3.761	-3.999	-2.351	-3.454	-2.45	-4.593	-2.849	-2.936	-2.622	-3.759	-5.687	-2.927	-4.092	-4.031	-3.819	-3.798	-4.31	-2.684	-2.145	-3.576
t45	-3.673	-4.421	-3.336	-3.075	-3.286	-4.35	-3.15	-2.943	-4.11	-3.624	-3.504	-3.66	-4.047	-4.992	-3.07	-3.958	-1.846	-3.375	-3.401	-2.802	-3.622	-3.347	-3.727	-3.573	-4.149	-3.863	-2.98	-4.362	-3.732	-3.822
t20	-3.199	-4.089	-4.167	-2.851	-3.871	-4.621	-3.619	-3.055	-3.487	-2.96	-4.732	-3.84	-4.045	-2.928	-2.045	-4.773	-5.274	-3.697	-3.509	-2.765	-4.223	-2.657	-3.418	-4.185	-3.103	-3.714	-2.977	-3.68	-3.553	-4.327
t27	-3.859	-3.346	-4.162	-2.842	-3.539	-5.056	-3.435	-3.344	-4.182	-3.621	-3.863	-3.715	-3.686	-3.371	-1.984	-2.888	-3.184	-2.855	-3.057	-3.477	-4.218	-3.528	-3.828	-8.799	-3.694	-3.838	-4.605	-2.77	-3.61	-3.276
t28	-4.045	-3.741	-3.289	-4.03	-3.59	-1.976	-3.115	-3.976	-3.497	-3.56	-3.604	-3.772	-2.976	-3.539	-2.663	-3.961	-4.478	-2.719	-2.857	-3.943	-4.306	-3.65	-3.511	-5.356	-4.091	-3.888	-3.481	-3.118	-4.053	-3.248
t9	-4.177	-1.971	-4.488	-3.767	-3.498	-4.706	-3.199	-3.821	-4.244	-4.391	-3.343	-3.708	-3.479	-3.386	-3.061	-4.154	-4.248	-4.159	-3.502	-3.696	-4.188	-3.256	-3.767	-1.979	-3.013	-4.391	-2.881	-4.616	-2.795	-5.032
t37	-3.464	-3.347	-4.303	-2.592	-3.546	-4.71	-4.176	-3.672	-3.449	-3.441	-3.789	-3.69	-3.922	-2.661	-4.149	-3.056	-3.481	-3.906	-2.156	-3.755	-4.426	-4.288	-3.425	-3.76	-4.335	-3.524	-3.761	-2.728	-2.825	-3.208
