feature_1	feature_2	feature_3	feature_4	feature_5	feature_6	feature_7	feature_8	feature_9	feature_10	feature_11	feature_12	feature_13	feature_14	feature_15	feature_16	feature_17	feature_18	feature_19	feature_20	feature_21	feature_22	feature_23	feature_24	feature_25	feature_26	feature_27	feature_28	feature_29	feature_30
t46	0.084	0.031	-0.052	0.113	0.019	-0.447	0.053	0.036	-0.021	0.039	-0.008	-0.08	0.443	0.071	0.883	-0.184	-0.103	0.129	0.744	-0.009	-0.633	-0.13	-0.07	-0.538	-0.166	-0.121	-0.1	-0.065	0.284	-0.202
t49	0.051	0.702	-0.306	0.195	0.095	-0.307	-0.101	-0.064	-0.132	-0.284	-0.251	-0.094	0.282	0.108	0.566	-0.326	0.022	0.429	0.49	-0.265	-0.764	-0.258	0.009	0.475	0.12	-0.18	-0.283	-0.1	0.697	-0.527
t11	0.009	0.396	0.061	0.329	-0.112	0.02	-0.17	-0.052	-0.048	-0.105	-0.336	-0.1	0.256	0.177	0.924	-0.155	0.029	0.32	0.312	-0.028	-0.767	0.026	0.063	-0.705	0.061	-0.062	-0.1	-0.146	0.411	-0.507
t26	0.143	0.497	-0.265	0.195	-0.096	-0.586	-0.281	-0.263	-0.13	0.003	-0.224	-0.129	0.516	0.536	0.902	-0.313	0.023	0.145	0.117	0.06	-0.737	0.081	-0.032	-0.032	-0.159	-0.088	-0.02	-0.004	0.446	-0.308
t32	0.021	0.824	-0.079	0.077	-0.042	-0.356	0.149	0.032	-0.104	0.116	-0.154	-0.106	0.636	0.51	0.565	-0.296	0.083	0.264	0.269	-0.119	-0.839	-0.132	-0.097	-0.757	-0.043	-0.049	-0.16	-0.317	0.531	-0.428
t22	0.062	0.402	-0.354	0.46	0.001	0.126	-0.136	-0.088	-0.165	0.08	-0.269	-0.064	0.38	0.394	0.684	-0.248	0.214	0.383	0.319	0.222	-1.14	0.041	0.053	-1.14	-0.017	-0.043	-0.016	-0.131	0.386	-0.395
t44	0.164	0.443	-0.471	0.425	-0.094	-0.586	-0.102	0.066	-0.03	-0.038	-0.301	-0.075	0.251	0.16	0.857	-0.328	0.096	0.295	-0.043	0.058	-0.875	0.228	-0.06	0.125	-0.069	-0.106	-0.169	0.132	0.668	-0.621
t29	0.032	0.745	-0.512	0.321	0.07	-0.312	-0.244	0.051	-0.115	-0.18	-0.191	-0.075	0.67	0.009	0.607	-0.262	-0.017	0.148	0.434	-0.44	-1.032	0.164	-0.027	0.01	0.129	-0.111	0.115	0.026	0.352	-0.369
t41	0.061	0.459	-0.466	0.165	-0.024	0.035	-0.13	-0.08	-0.118	-0.178	-0.021	-0.097	0.302	0.065	0.663	-0.296	0.097	0.105	0.556	-0.08	-0.494	0.146	-0.023	-0.382	-0.006	-0.097	-0.209	-0.249	0.439	-0.143
t16	0.06	0.618	-0.205	0.04	-0.047	-0.56	-0.349	-0.045	-0.228	-0.285	-0.15	-0.124	0.549	0.283	0.875	-0.379	0.16	0.345	0.368	-0.069	-1.014	0.164	-0.064	-0.227	-0.078	-0.094	-0.224	0.283	0.675	-0.28
t45	0.051	0.354	-0.152	0.338	0.092	-0.435	-0.006	0.075	-0.187	-0.118	-0.078	-0.075	0.169	-0.069	0.659	-0.268	0.392	0.234	0.222	0.1	-0.602	0.092	-0.021	-0.373	-0.113	-0.127	-0.021	-0.217	0.405	-0.322
t20	0.168	0.355	-0.314	0.355	-0.057	-0.374	-0.048	0.093	-0.065	0.017	-0.334	-0.106	0.1	0.369	0.923	-0.386	-0.334	0.19	0.228	0.143	-0.706	0.228	0.054	-0.464	0.084	-0.081	0.019	-0.031	0.407	-0.432
t27	0.012	0.605	-0.273	0.323	0.034	-0.579	0.023	0.107	-0.197	-0.079	-0.131	-0.073	0.219	0.224	0.923	-0.058	0.133	0.381	0.413	-0.011	-0.684	0.091	-0.028	-1.274	-0.029	-0.103	-0.272	0.194	0.33	-0.221
t28	-0.033	0.492	-0.133	0.082	0.025	0.163	0.009	-0.075	-0.093	-0.071	-0.092	-0.105	0.443	0.247	0.718	-0.255	-0.159	0.428	0.31	-0.138	-0.765	-0.007	0.01	-0.805	-0.13	-0.14	-0.065	0.04	0.326	-0.226
t9	-0.058	0.659	-0.381	0.186	0.03	-0.376	0.027	-0.053	-0.196	-0.196	-0.083	-0.068	0.349	0.275	0.68	-0.273	0.008	0.086	0.361	0.012	-0.779	0.128	-0.033	-0.063	0.083	-0.168	0.069	-0.219	0.52	-0.527
t37	0.064	0.584	-0.354	0.355	0.005	-0.506	-0.185	0.001	-0.07	-0.064	-0.162	-0.097	0.105	0.338	0.444	-0.12	0.06	0.118	0.598	-0.102	-0.775	-0.105	0.029	-0.215	-0.195	-0.063	-0.1	0.163	0.464	-0.214
t40	0.153	0.621	-0.268	0.387	0.051	-0.56	-0.021	0.084	-0.218	-0.047	-0.088	-0.083	0.197	0.165	0.475	-0.522	0.108	0.401	0.497	-0.272	-0.559	0.217	0.039	-0.162	-0.136	-0.031	-0.187	-0.273	0.393	-0.361
t5	0.007	0.67	-0.02	-0.008	-0.041	0.003	-0.134	0.103	-0.038	0.126	-0.096	-0.065	0.152	0.02	0.62	-0.073	0.162	0.465	0.008	-0.034	-0.968	0.04	0.022	-0.747	-0.092	-0.072	-0.048	0.169	0.381	-0.512
t39	0.136	1.052	-0.355	0.248	-0.077	0.054	-0.268	0.013	-0.199	0.078	-0.196	-0.1	0.267	0.192	0.941	-0.332	-0.258	0.294	0.014	0.002	-0.823	-0.118	0.029	-0.516	-0.03	-0.088	-0.121	-0.18	0.741	-0.399
t48	0.058	0.496	-0.309	0.205	0.011	-0.598	-0.216	0.08	-0.065	-0.081	-0.223	-0.08	0.25	0.273	1.164	-0.322	0.109	-0.085	0.381	0.054	-0.638	-0.014	-0.047	-0.162	-0.082	-0.073	0.161	-0.218	0.175	-0.205
t4	0.049	0.701	-0.171	0.253	-0.091	-0.124	0.09	0.059	0.059	-0.303	-0.346	-0.088	-0.154	-0.098	0.982	-0.22	-0.091	0.079	0.24	-0.028	-0.805	0.049	0.055	0.017	-0.115	-0.063	-0.481	0.267	0.511	-0.232
t10	0.136	0.646	-0.377	0.364	-0.123	-0.227	0.01	-0.256	0.003	-0.071	-0.105	-0.057	0.295	0.395	0.467	-0.253	-0.08	0.069	0.544	-0.104	-0.696	0.087	0.045	-0.432	-0.184	-0.033	-0.276	0.174	0.393	-0.354
t19	0.001	0.63	-0.387	0.027	-0.091	-0.1	-0.051	0.196	-0.074	-0.058	0.123	-0.142	0.103	0.298	0.503	-0.356	0.061	0.181	0.101	0.159	-0.679	-0.065	-0.134	0.067	-0.013	-0.063	-0.065	-0.066	0.436	-0.541
t17	0.066	0.395	-0.238	0.303	-0.046	-0.007	-0.088	0.155	-0.041	-0.186	-0.248	-0.041	0.224	0.09	0.274	-0.16	0.332	0.321	0.448	-0.057	-0.676	-0.076	0.063	-0.634	-0.259	-0.023	0.015	0.116	0.324	-0.345
t30	0.001	1.222	-0.218	0.318	-0.036	-0.855	-0.13	-0.124	-0.15	0.041	-0.232	-0.087	0.479	0.3	0.385	-0.277	-0.051	0.437	0.281	-0.021	-0.962	0.063	0.023	-0.72	-0.021	-0.031	-0.151	0.121	0.69	-0.296
t24	0.105	0.416	-0.093	0.11	0.096	-0.567	0.101	0.078	-0.123	-0.17	0.002	-0.1	0.48	0.261	0.765	-0.241	-0.013	0.049	0.177	-0.236	-0.738	-0.104	-0.043	-0.267	0.153	-0.022	-0.123	0.035	0.229	-0.218
t36	-0.063	0.765	-0.272	0.071	-0.149	0.155	0.117	0.089	-0.239	-0.024	0.018	-0.117	0.111	0.315	1.202	-0.284	0.118	0.158	0.238	-0.127	-0.937	-0.238	0.021	-0.29	-0.282	-0.079	-0.304	0.106	0.332	-0.41
t42	0.069	0.453	-0.298	-0.118	0.048	-0.321	-0.22	-0.106	-0.158	-0.136	-0.221	-0.1	0.419	0.41	0.433	-0.127	-0.01	0.399	0.427	-0.061	-1.035	0.208	-0.025	-0.053	0.04	-0.117	-0.07	0.075	0.463	-0.267
t18	0.038	0.791	-0.355	-0.034	-0.018	0.086	0.055	-0.002	-0.26	-0.223	-0.221	-0.089	0.803	0.403	0.477	-0.2	-0.08	0.244	0.468	-0.186	-0.922	0.116	-0.05	-0.189	-0.096	-0.084	-0.178	-0.003	0.174	-0.464
t23	0.168	0.488	-0.258	0.401	0.167	-0.551	-0.169	0.006	-0.164	-0.248	-0.053	-0.054	0.152	0.111	0.672	-0.159	0.126	0.224	0.311	-0.108	-0.828	0.13	-0.058	-0.313	-0.015	-0.001	-0.226	-0.163	0.605	-0.195
t12	0.029	0.607	-0.352	0.208	-0.075	-0.166	-0.184	0.236	-0.063	-0.16	-0.131	-0.016	0.337	0.246	0.455	-0.156	0.147	0.319	0.504	-0.161	-0.693	-0.063	0.036	-1.297	0.112	-0.038	0.031	-0.142	0.649	-0.219
t21	-0.013	0.408	-0.298	0.154	0.184	-0.251	-0.257	-0.159	-0.102	-0.167	-0.081	-0.088	0.079	-0.201	1.026	-0.256	0.02	0.21	0.232	0.151	-0.83	0.161	0.092	0.052	0.219	-0.016	-0.056	-0.069	0.421	-0.567
t1	0.157	0.139	-0.318	0.271	0.063	-0.315	0.124	-0.059	-0.04	-0.209	-0.261	-0.055	0.305	0.375	0.378	-0.315	0.43	0.206	0.394	-0.016	-0.802	0.16	-0.043	-0.272	-0.014	-0.102	-0.005	-0.157	0.401	-0.417
t8	0.191	0.923	-0.164	0.145	-0.006	-0.244	0.227	0.023	-0.015	-0.204	0.036	-0.083	0.137	0.345	0.54	-0.37	-0.112	0.181	0.13	-0.108	-0.374	0.293	0.049	-0.924	-0.121	-0.119	-0.245	-0.094	0.336	-0.375
t14	0.005	0.325	-0.211	0.305	0.088	-0.305	0.114	-0.107	-0.223	-0.162	-0.066	-0.125	0.156	0.493	0.646	-0.188	0.255	0.453	0.335	0.276	-1.055	0.041	-0.056	-0.413	-0.135	-0.001	-0.303	-0.162	0.391	-0.371
t7	0.211	0.811	-0.283	0.497	0.07	-0.174	-0.211	-0.059	0.005	-0.236	-0.049	-0.044	0.444	0.178	0.483	-0.198	0.335	0.296	0.468	-0.124	-0.82	0.216	0.007	-1.487	0.019	-0.017	-0.108	-0.217	0.552	-0.568
t33	0.063	1.11	-0.317	0.13	-0.001	-0.282	-0.069	0.022	-0.2	-0.091	-0.081	-0.081	0.502	-0.045	0.936	-0.388	-0.154	0.248	0.049	-0.31	-0.763	0.08	-0.01	-0.317	0.063	-0.195	0.001	-0.053	0.639	-0.49
t50	0.093	1.02	-0.165	0.182	0.002	-0.389	-0.244	0.199	-0.131	-0.13	-0.06	-0.109	-0.185	0.378	0.751	-0.084	-0.126	0.243	-0.17	-0.113	-0.754	-0.15	0.048	0.128	-0.201	-0.075	-0.172	0.314	0.244	-0.344
t25	0.015	0.565	-0.085	0.282	0.044	-0.232	-0.181	-0.053	-0.084	0.052	-0.102	-0.127	0.485	0.342	0.361	-0.332	0.033	0.341	0.036	0.001	-0.782	0.104	-0.032	-0.162	-0.183	-0.017	-0.226	0.106	0.162	-0.333
t38	0.047	0.522	-0.169	0.152	0.062	0.017	0.028	-0.029	-0.115	0.076	-0.085	-0.066	0.152	0.196	0.588	-0.322	0.129	0.294	0.498	-0.061	-0.823	-0.245	0.007	-0.826	-0.095	0.059	-0.14	0.153	0.149	-0.15
t34	0.094	0.301	-0.14	0.18	-0.027	-0.038	0.188	-0.06	-0.038	-0.072	-0.269	-0.064	0.637	0.258	0.443	-0.403	-0.03	0.062	0.199	0.017	-0.697	0.071	0.036	-0.144	-0.244	-0.032	-0.4	-0.007	0.608	-0.429
t31	0.181	0.566	-0.19	0.208	-0.008	-0.303	-0.224	-0.035	-0.047	-0.177	0.136	-0.086	0.585	0.508	0.591	-0.083	-0.081	0.371	-0.127	-0.133	-0.79	-0.095	-0.033	-0.599	0.009	-0.028	-0.172	-0.005	0.567	-0.505
t2	0.111	0.67	-0.307	0.282	-0.089	-0.25	0.121	0.041	-0.211	-0.277	-0.113	-0.063	0.103	0.246	0.661	-0.057	0.108	0.062	0.137	-0.108	-0.578	-0.084	-0.003	0.051	-0.243	-0.014	-0.404	0.198	0.19	-0.179
