feature_1	feature_2	feature_3	feature_4	feature_5	feature_6	feature_7	feature_8	feature_9	feature_10	feature_11	feature_12	feature_13	feature_14	feature_15	feature_16	feature_17	feature_18	feature_19	feature_20	feature_21	feature_22	feature_23	feature_24	feature_25	feature_26	feature_27	feature_28	feature_29	feature_30
t46	0.023	0.002	0.044	0.014	0.022	0.007	0.039	0.028	0.028	0.041	0.033	0.019	0.052	0.01	0.099	0.02	0.011	0.015	0.302	0.027	0.018	0.01	0.015	0.009	0.011	0.016	0.024	0.017	0.012	0.032
t49	0.01	0.052	0.006	0.01	0.016	0.005	0.009	0.008	0.008	0.003	0.006	0.009	0.01	0.006	0.011	0.005	0.007	0.03	0.026	0.003	0.006	0.003	0.011	0.644	0.024	0.005	0.004	0.006	0.056	0.003
t11	0.02	0.014	0.098	0.052	0.014	0.063	0.014	0.019	0.031	0.025	0.008	0.021	0.029	0.024	0.166	0.029	0.025	0.046	0.042	0.031	0.012	0.027	0.034	0.005	0.041	0.026	0.029	0.013	0.031	0.009
t26	0.035	0.021	0.021	0.026	0.014	0.004	0.008	0.007	0.02	0.038	0.013	0.018	0.09	0.117	0.141	0.013	0.023	0.02	0.016	0.043	0.013	0.033	0.021	0.092	0.014	0.022	0.039	0.024	0.034	0.021
t32	0.019	0.115	0.043	0.014	0.019	0.009	0.062	0.03	0.022	0.074	0.018	0.019	0.157	0.09	0.022	0.011	0.028	0.033	0.03	0.017	0.007	0.012	0.014	0.003	0.022	0.026	0.019	0.006	0.043	0.012
t22	0.024	0.013	0.01	0.097	0.023	0.124	0.015	0.014	0.016	0.049	0.011	0.023	0.047	0.067	0.042	0.022	0.053	0.053	0.029	0.08	0.002	0.021	0.029	0	0.024	0.025	0.028	0.014	0.031	0.016
t44	0.036	0.021	0.008	0.071	0.015	0.003	0.02	0.035	0.029	0.039	0.01	0.021	0.028	0.018	0.072	0.009	0.029	0.04	0.007	0.036	0.006	0.059	0.017	0.184	0.02	0.021	0.018	0.048	0.073	0.005
t29	0.019	0.078	0.006	0.043	0.031	0.011	0.01	0.033	0.021	0.019	0.014	0.021	0.178	0.009	0.028	0.013	0.017	0.018	0.063	0.004	0.003	0.045	0.02	0.103	0.047	0.018	0.067	0.028	0.019	0.015
t41	0.028	0.02	0.008	0.028	0.025	0.06	0.016	0.019	0.022	0.014	0.046	0.023	0.036	0.014	0.039	0.016	0.049	0.021	0.184	0.025	0.036	0.055	0.022	0.01	0.034	0.025	0.016	0.008	0.047	0.057
t16	0.025	0.036	0.022	0.014	0.02	0.004	0.005	0.02	0.012	0.008	0.023	0.018	0.095	0.032	0.086	0.01	0.058	0.053	0.073	0.023	0.003	0.054	0.017	0.018	0.022	0.022	0.013	0.068	0.117	0.028
t45	0.025	0.012	0.036	0.046	0.037	0.013	0.043	0.053	0.016	0.027	0.03	0.026	0.017	0.007	0.046	0.019	0.158	0.034	0.033	0.061	0.027	0.035	0.024	0.028	0.016	0.021	0.051	0.013	0.024	0.022
t20	0.041	0.017	0.016	0.058	0.021	0.01	0.027	0.047	0.031	0.052	0.009	0.021	0.018	0.054	0.129	0.008	0.005	0.025	0.03	0.063	0.015	0.07	0.033	0.015	0.045	0.024	0.051	0.025	0.029	0.013
t27	0.021	0.035	0.016	0.058	0.029	0.006	0.032	0.035	0.015	0.027	0.021	0.024	0.025	0.034	0.138	0.056	0.041	0.058	0.047	0.031	0.015	0.029	0.022	0	0.025	0.022	0.01	0.063	0.027	0.038
t28	0.018	0.024	0.037	0.018	0.028	0.139	0.044	0.019	0.03	0.028	0.027	0.023	0.051	0.029	0.07	0.019	0.011	0.066	0.057	0.019	0.013	0.026	0.03	0.005	0.017	0.02	0.031	0.044	0.017	0.039
t9	0.015	0.139	0.011	0.023	0.03	0.009	0.041	0.022	0.014	0.012	0.035	0.025	0.031	0.034	0.047	0.016	0.014	0.016	0.03	0.025	0.015	0.039	0.023	0.138	0.049	0.012	0.056	0.01	0.061	0.007
t37	0.031	0.035	0.014	0.075	0.029	0.009	0.015	0.025	0.032	0.032	0.023	0.025	0.02	0.07	0.016	0.047	0.031	0.02	0.116	0.023	0.012	0.014	0.033	0.023	0.013	0.029	0.023	0.065	0.059	0.04
t40	0.039	0.056	0.024	0.07	0.034	0.003	0.034	0.043	0.015	0.046	0.029	0.024	0.027	0.022	0.015	0.005	0.036	0.076	0.089	0.01	0.028	0.062	0.031	0.058	0.018	0.035	0.019	0.01	0.024	0.02
t5	0.02	0.075	0.059	0.011	0.021	0.059	0.017	0.048	0.032	0.091	0.025	0.025	0.019	0.011	0.036	0.035	0.041	0.092	0.01	0.029	0.004	0.028	0.029	0.004	0.021	0.025	0.037	0.059	0.028	0.009
t39	0.027	0.285	0.011	0.025	0.014	0.055	0.008	0.025	0.013	0.057	0.013	0.017	0.024	0.017	0.107	0.009	0.005	0.034	0.008	0.026	0.006	0.011	0.022	0.008	0.02	0.018	0.021	0.01	0.096	0.011
t48	0.018	0.015	0.011	0.021	0.018	0.003	0.011	0.025	0.022	0.018	0.011	0.018	0.014	0.024	0.38	0.01	0.032	0.005	0.056	0.031	0.017	0.018	0.016	0.069	0.015	0.02	0.061	0.009	0.005	0.028
t4	0.02	0.047	0.025	0.03	0.013	0.032	0.051	0.026	0.047	0.008	0.007	0.02	0.003	0.005	0.169	0.018	0.012	0.011	0.035	0.025	0.009	0.027	0.029	0.13	0.014	0.023	0.004	0.096	0.031	0.03
t10	0.036	0.046	0.013	0.06	0.014	0.026	0.045	0.009	0.046	0.027	0.025	0.028	0.025	0.052	0.024	0.019	0.016	0.014	0.154	0.022	0.018	0.039	0.035	0.025	0.013	0.032	0.012	0.081	0.023	0.022
t19	0.019	0.036	0.012	0.011	0.016	0.053	0.032	0.085	0.026	0.032	0.067	0.018	0.012	0.031	0.02	0.012	0.036	0.026	0.019	0.073	0.018	0.016	0.014	0.171	0.022	0.026	0.04	0.023	0.025	0.008
t17	0.026	0.014	0.023	0.037	0.019	0.08	0.028	0.073	0.03	0.019	0.015	0.028	0.021	0.013	0.008	0.029	0.116	0.047	0.083	0.031	0.019	0.016	0.032	0.009	0.008	0.032	0.057	0.051	0.016	0.018
t30	0.013	0.427	0.018	0.032	0.015	0.001	0.013	0.011	0.012	0.041	0.01	0.014	0.055	0.024	0.006	0.008	0.011	0.054	0.022	0.017	0.003	0.019	0.018	0.003	0.018	0.022	0.014	0.033	0.05	0.017
t24	0.034	0.026	0.053	0.023	0.044	0.003	0.06	0.044	0.024	0.03	0.045	0.024	0.096	0.036	0.05	0.016	0.023	0.019	0.025	0.012	0.014	0.017	0.023	0.038	0.063	0.039	0.027	0.041	0.013	0.04
t36	0.011	0.047	0.014	0.01	0.009	0.119	0.051	0.039	0.009	0.028	0.028	0.015	0.009	0.023	0.345	0.012	0.032	0.017	0.024	0.015	0.004	0.006	0.019	0.026	0.005	0.017	0.011	0.036	0.011	0.01
t42	0.026	0.02	0.017	0.005	0.03	0.019	0.015	0.019	0.017	0.021	0.014	0.022	0.071	0.064	0.013	0.034	0.021	0.067	0.089	0.025	0.003	0.063	0.022	0.121	0.033	0.02	0.034	0.042	0.028	0.026
