feature_1	feature_2	feature_3	feature_4	feature_5	feature_6	feature_7	feature_8	feature_9	feature_10	feature_11	feature_12	feature_13	feature_14	feature_15	feature_16	feature_17	feature_18	feature_19	feature_20	feature_21	feature_22	feature_23	feature_24	feature_25	feature_26	feature_27	feature_28	feature_29	feature_30
t17	0.046	0.026	0.032	0.036	0.036	0.032	0.049	0.012	0.001	0.032	0.01	0.029	0.035	0	0.039	0.036	0.149	0.002	0.031	0.001	0.058	0.011	0.064	0.007	0.046	0.075	0.056	0.026	0.017	0.006
t20	0.009	0.024	0.025	0.032	0.041	0.029	0.025	0.036	0.006	0.022	0.051	0.047	0.08	0.069	0.082	0.015	0.018	0.001	0.02	0.035	0.061	0.024	0.056	0.011	0.04	0.028	0.063	0.019	0.031	0.003
t5	0.021	0.013	0.024	0.019	0.012	0.022	0.013	0.013	0.018	0.017	0.116	0.018	0.03	0.005	0.032	0.022	0.007	0.001	0.03	0.315	0.017	0.015	0.012	0.015	0.017	0.063	0.013	0.009	0.016	0.075
t36	0.009	0.025	0.011	0.033	0.018	0.025	0.018	0.035	0.196	0.022	0.025	0.02	0.047	0.001	0.019	0.016	0.016	0.057	0.044	0.005	0.02	0.018	0.112	0.003	0.038	0.06	0.023	0.014	0.058	0.011
t3	0.001	0.012	0.013	0.012	0.02	0.015	0.027	0.048	0.06	0.01	0.006	0.332	0.013	0.01	0.033	0.007	0.058	0.087	0.011	0.024	0.016	0.005	0.043	0.029	0.013	0.035	0.016	0.011	0.016	0.017
t1	0.004	0.016	0.014	0.018	0.019	0.017	0.008	0.02	0.593	0.026	0.004	0.002	0.01	0.003	0.024	0.013	0.025	0.017	0.019	0.004	0.027	0.008	0.008	0.039	0.013	0.009	0.015	0.013	0.011	0.001
t30	0.045	0.025	0.026	0.023	0.025	0.028	0.026	0.054	0.093	0.033	0.009	0.008	0.033	0	0.015	0.03	0.027	0.019	0.058	0.019	0.031	0.023	0.047	0.052	0.018	0.016	0.042	0.023	0.017	0.134
t28	0.032	0.026	0.03	0.018	0.027	0.022	0.024	0.006	0.037	0.014	0.004	0.041	0.013	0.001	0.022	0.006	0.137	0.009	0.027	0.014	0.029	0.058	0.099	0.013	0.113	0.022	0.02	0.024	0.013	0.097
t13	0.008	0.025	0.026	0.019	0.021	0.016	0.018	0.015	0.099	0.027	0.062	0.023	0.042	0.002	0.015	0.007	0.019	0.017	0.027	0.002	0.119	0.092	0.028	0.023	0.036	0.022	0.025	0.024	0.023	0.12
t38	0.003	0.022	0.046	0.021	0.035	0.023	0.032	0.024	0.065	0.016	0.069	0.031	0.036	0.025	0.017	0.013	0.109	0.107	0.018	0.005	0.058	0.002	0.008	0.079	0.009	0.025	0.025	0.019	0.026	0.033
t43	0.018	0.031	0.034	0.032	0.019	0.023	0.028	0.016	0.105	0.036	0.053	0.01	0.043	0	0.009	0.029	0.096	0.031	0.036	0.027	0.108	0.01	0.023	0.049	0.02	0.015	0.014	0.03	0.035	0.021
t9	0.022	0.016	0.036	0.024	0.016	0.027	0.017	0.039	0.07	0.012	0.096	0.032	0.035	0.06	0.028	0.015	0.007	0.083	0.054	0.008	0.05	0.021	0.015	0.026	0.027	0.032	0.035	0.021	0.013	0.06
t48	0.003	0.028	0.029	0.036	0.056	0.05	0.035	0.018	0.003	0.048	0.03	0.039	0.029	0.057	0.105	0.034	0.018	0.005	0.042	0.011	0.044	0.008	0.019	0.037	0.09	0.029	0.027	0.032	0.035	0.002
t31	0.007	0.025	0.033	0.027	0.025	0.031	0.027	0.011	0.176	0.033	0.03	0.015	0.046	0.012	0.065	0.01	0.017	0.105	0.029	0.009	0.061	0.039	0.025	0.035	0.032	0.008	0.019	0.023	0.022	0.002
t15	0.007	0.019	0.014	0.024	0.027	0.015	0.039	0.01	0.28	0.01	0.022	0.005	0.019	0.005	0.019	0.016	0.02	0.007	0.06	0.061	0.074	0.007	0.031	0.092	0.01	0.029	0.013	0.022	0.029	0.013
t26	0.01	0.019	0.025	0.024	0.024	0.016	0.041	0.012	0.131	0.019	0.033	0.018	0.055	0	0.022	0.017	0.023	0.004	0.034	0.011	0.035	0.014	0.127	0.08	0.094	0.023	0.011	0.028	0.026	0.023
t40	0.003	0.036	0.038	0.04	0.037	0.034	0.046	0.033	0.052	0.026	0.005	0.002	0.021	0.001	0.008	0.015	0.323	0.013	0.096	0.005	0.031	0.004	0.031	0.01	0.004	0.015	0.019	0.025	0.022	0.006
t27	0.022	0.022	0.028	0.024	0.017	0.02	0.017	0.018	0.495	0.021	0.029	0.006	0.03	0	0.035	0.017	0.05	0.014	0.009	0.004	0.014	0.013	0.022	0.007	0.007	0.005	0.012	0.023	0.015	0.003
t12	0.003	0.032	0.035	0.029	0.034	0.027	0.025	0.083	0.062	0.025	0.01	0.002	0.031	0.013	0.031	0.013	0.046	0.201	0.027	0.011	0.043	0.005	0.066	0.009	0.045	0.009	0.033	0.018	0.03	0.004
t16	0.012	0.034	0.042	0.019	0.016	0.038	0.037	0.083	0.042	0.032	0.02	0.044	0.018	0.037	0.022	0.025	0.043	0.033	0.027	0.037	0.089	0.011	0.044	0.025	0.026	0.027	0.03	0.048	0.031	0.007
t11	0.003	0.021	0.018	0.024	0.023	0.023	0.017	0.013	0.001	0.021	0.063	0.013	0.021	0	0.024	0.018	0.016	0.096	0.03	0.226	0.066	0.037	0.074	0.041	0.026	0.008	0.022	0.021	0.028	0.004
t23	0.003	0.027	0.027	0.041	0.034	0.032	0.04	0.068	0.133	0.023	0.018	0.079	0.069	0.002	0.021	0.023	0.046	0.006	0.021	0.007	0.02	0.009	0.048	0.043	0.018	0.043	0.026	0.036	0.024	0.016
t21	0.007	0.023	0.039	0.041	0.031	0.031	0.023	0.065	0.003	0.018	0.055	0.14	0.029	0.003	0.01	0.034	0.032	0.001	0.045	0.019	0.023	0.057	0.049	0.012	0.012	0.096	0.008	0.039	0.019	0.035
t34	0.004	0.02	0.06	0.014	0.029	0.02	0.02	0.025	0.006	0.023	0.037	0.03	0.065	0.001	0.009	0.024	0.046	0.002	0.103	0.036	0.033	0.026	0.109	0.082	0.014	0.055	0.021	0.014	0.021	0.051
t32	0.019	0.022	0.042	0.026	0.037	0.028	0.035	0.022	0.015	0.026	0.029	0.013	0.1	0.005	0.016	0.029	0.045	0.005	0.041	0.064	0.068	0.158	0.009	0.039	0.015	0.039	0.016	0.019	0.015	0.005
t14	0.006	0.022	0.011	0.025	0.037	0.017	0.018	0.034	0.023	0.012	0.048	0.008	0.029	0.002	0.054	0.021	0.028	0.002	0.015	0.145	0.009	0.023	0.048	0.015	0.204	0.051	0.032	0.02	0.01	0.032
t42	0.003	0.03	0.019	0.018	0.026	0.018	0.018	0.041	0.295	0.016	0.023	0.009	0.015	0	0.024	0.014	0.019	0.01	0.011	0.046	0.015	0.046	0.092	0.036	0.045	0.04	0.025	0.019	0.013	0.014
t29	0.008	0.038	0.019	0.029	0.043	0.042	0.013	0.021	0.032	0.033	0.042	0.005	0.046	0.005	0.009	0.016	0.016	0.121	0.053	0.004	0.032	0.014	0.058	0.024	0.12	0.009	0.023	0.033	0.013	0.081
t24	0.002	0.005	0.009	0.006	0.007	0.008	0.007	0.012	0.173	0.005	0.006	0.004	0.023	0.538	0.029	0.008	0.006	0.003	0.009	0.078	0.008	0.008	0.007	0.004	0.001	0.009	0.005	0.007	0.008	0.006
t49	0.002	0.024	0.055	0.023	0.016	0.028	0.02	0.049	0.023	0.018	0.03	0.023	0.024	0.021	0.084	0.026	0.029	0.001	0.047	0.169	0.028	0.044	0.019	0.041	0.026	0.019	0.023	0.021	0.012	0.056
t2	0.004	0.019	0.03	0.025	0.04	0.024	0.036	0.038	0.016	0.021	0.024	0.017	0.062	0	0.055	0.025	0.041	0.041	0.014	0.039	0.032	0.061	0.015	0.018	0.017	0.064	0.027	0.026	0.019	0.149
t33	0.003	0.008	0.019	0.014	0.014	0.016	0.013	0.052	0.026	0.01	0.03	0.006	0.043	0.001	0.016	0.012	0.01	0.003	0.03	0.504	0.011	0.025	0.041	0.008	0.035	0.021	0.007	0.01	0.005	0.006
