V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	V15	V16	V17	V18	V19	V20	V21	V22	V23	V24	V25	V26	V27	V28	V29	V30
t40	-2.88	-3.519	-5.493	-5.286	-2.393	-3.194	-3.914	-2.59	-4.086	-3.529	-4.436	-4.564	-4.769	-6.263	-5.502	-1.136	-5.447	-5.289	-3.262	-3.506	-4.087	-3.629	-3.483	-4.139	-4.522	-4.287	-4.275	-3.804	-4.214	-3.489
t107	-3.401	-2.754	-7.373	-4.508	-2.315	-1.518	-5.085	-4.677	-4.434	-3.472	-5.279	-3.514	-4.763	-5.357	-6.411	-1.473	-4.348	-6.347	-6.152	-5.621	-5.045	-2.783	-4.685	-5.552	-3.537	-4.201	-4.09	-5.577	-3.171	-3.59
t133	-4.539	-3.854	-8.403	-5.614	-3.017	-2.348	-5.641	-4.649	-5.227	-4.26	-5.159	-4.062	-5.029	-4.307	-7.061	-0.491	-4.978	-7.108	-6.766	-5.607	-6.377	-3.801	-4.693	-6.178	-4.928	-5.664	-4.029	-3.315	-5.072	-4.398
t169	-5.199	-3.801	-10.286	-5.559	-3.354	-1.248	-7.022	-5.969	-6.421	-5.347	-5.76	-4.215	-6.002	-6.179	-8.708	-0.696	-3.872	-8.182	-8.166	-8.292	-7.608	-3.682	-6.503	-7.543	-3.765	-6.465	-3.636	-5.122	-5.842	-5.124
t179	-3.773	-2.96	-6.48	-4.794	-2.184	-2.233	-4.014	-4.256	-3.8	-2.91	-4.861	-3.221	-3.551	-3.769	-4.856	-1.69	-3.974	-5.789	-5.144	-4.053	-4.531	-3.173	-3.581	-4.804	-4.33	-3.548	-4.281	-4.723	-2.866	-3.233
t153	-4.021	-4.627	-6.32	-6.506	-3.472	-4.173	-5.022	-3.679	-5.272	-4.226	-4.535	-4.391	-5.632	-5.409	-6.415	-0.314	-6.544	-6.4	-5.216	-4.948	-5.77	-4.245	-4.475	-5.708	-5.486	-5.575	-3.927	-3.869	-6.134	-4.718
t6	-4.287	-3.865	-7.605	-5.711	-3.052	-2.087	-5.912	-5.254	-5.544	-4.295	-4.436	-3.958	-5.799	-5.145	-7.733	-0.519	-5.705	-6.81	-6.974	-6.217	-6.654	-3.569	-5.45	-7.121	-4.469	-6.216	-3.178	-3.908	-5.773	-4.685
t53	-5.204	-5.258	-7.843	-7.187	-3.964	-3.604	-6.472	-5.517	-6.202	-4.758	-4.024	-5.088	-6.535	-5.207	-8.399	-0.203	-7.345	-7.221	-6.797	-6.095	-7.299	-4.807	-5.391	-7.675	-5.912	-7.499	-3.826	-3.483	-8.016	-5.544
t127	-3.417	-3.984	-5.907	-5.83	-2.797	-3.325	-4.326	-3.951	-4.497	-3.952	-3.945	-4.197	-4.77	-5.785	-5.873	-0.598	-6.492	-5.595	-3.898	-4	-4.788	-3.857	-3.966	-5.063	-5.181	-5.042	-3.585	-3.887	-5.12	-3.941
t200	-3.189	-4.994	-5.504	-6.711	-3.755	-5.237	-4.75	-2.625	-5.197	-5.121	-5.454	-5.804	-6.525	-8.275	-6.605	-0.408	-8.483	-6.211	-3.029	-4.144	-4.831	-4.768	-4.288	-4.143	-6.311	-5.702	-5.216	-4.237	-5.684	-4.699
