V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	V15	V16	V17	V18	V19	V20	V21	V22	V23	V24	V25	V26	V27	V28	V29	V30	V31
1	0.065	0.036	0.073	0.099	0.031	-0.041	0.089	-0.02	-0.075	-0.081	0.009	-0.05	0.039	-0.124	-0.006	0	0.088	0.131	-0.026	-0.021	-0.008	-0.034	-0.019	-0.026	0.005	0.093	0.012	0.066	0.044	-0.007	0.031
2	0.036	0.322	0.024	0.04	0.039	-0.253	0.051	-0.038	-0.249	-0.199	0.111	-0.058	0.03	-0.158	-0.1	-0.052	0.032	0.142	-0.165	-0.151	-0.013	-0.103	-0.147	-0.12	0.007	0.12	0.159	-0.008	0.15	-0.147	-0.122
3	0.073	0.024	0.082	0.111	0.034	-0.033	0.099	-0.02	-0.072	-0.082	0.005	-0.054	0.043	-0.133	-0.001	0.003	0.099	0.142	-0.021	-0.016	-0.009	-0.033	-0.013	-0.024	0.006	0.1	0.005	0.076	0.042	0.001	0.043
4	0.099	0.04	0.111	0.151	0.046	-0.052	0.135	-0.028	-0.104	-0.115	0.009	-0.075	0.058	-0.183	-0.005	0.002	0.134	0.195	-0.032	-0.026	-0.012	-0.047	-0.022	-0.035	0.008	0.138	0.01	0.102	0.061	-0.003	0.054
5	0.031	0.039	0.034	0.046	0.016	-0.036	0.043	-0.011	-0.051	-0.05	0.012	-0.026	0.019	-0.065	-0.01	-0.004	0.041	0.067	-0.023	-0.02	-0.005	-0.022	-0.019	-0.02	0.003	0.049	0.017	0.028	0.03	-0.013	0.005
6	-0.041	-0.253	-0.033	-0.052	-0.036	0.201	-0.057	0.033	0.205	0.168	-0.086	0.055	-0.031	0.146	0.078	0.039	-0.043	-0.135	0.131	0.12	0.011	0.085	0.116	0.097	-0.007	-0.111	-0.123	-0.008	-0.123	0.113	0.086
7	0.089	0.051	0.099	0.135	0.043	-0.057	0.121	-0.027	-0.104	-0.111	0.013	-0.069	0.053	-0.169	-0.009	-0.001	0.12	0.178	-0.036	-0.03	-0.012	-0.047	-0.026	-0.036	0.007	0.127	0.017	0.09	0.061	-0.01	0.042
8	-0.02	-0.038	-0.02	-0.028	-0.011	0.033	-0.027	0.008	0.041	0.038	-0.012	0.018	-0.012	0.045	0.011	0.005	-0.025	-0.045	0.021	0.019	0.003	0.018	0.018	0.017	-0.002	-0.034	-0.017	-0.016	-0.025	0.015	0.003
9	-0.075	-0.249	-0.072	-0.104	-0.051	0.205	-0.104	0.041	0.229	0.199	-0.084	0.078	-0.05	0.204	0.074	0.036	-0.09	-0.198	0.133	0.12	0.015	0.096	0.115	0.102	-0.009	-0.154	-0.118	-0.046	-0.137	0.106	0.059
10	-0.081	-0.199	-0.082	-0.115	-0.05	0.168	-0.111	0.038	0.199	0.179	-0.066	0.078	-0.052	0.199	0.057	0.027	-0.101	-0.197	0.109	0.098	0.015	0.085	0.093	0.086	-0.009	-0.151	-0.092	-0.059	-0.119	0.081	0.032
11	0.009	0.111	0.005	0.009	0.012	-0.086	0.013	-0.012	-0.084	-0.066	0.038	-0.018	0.008	-0.049	-0.035	-0.018	0.007	0.043	-0.056	-0.052	-0.004	-0.034	-0.05	-0.041	0.002	0.037	0.055	-0.006	0.051	-0.051	-0.044
12	-0.05	-0.058	-0.054	-0.075	-0.026	0.055	-0.069	0.018	0.078	0.078	-0.018	0.042	-0.03	0.104	0.014	0.005	-0.066	-0.107	0.035	0.03	0.007	0.034	0.028	0.031	-0.005	-0.079	-0.024	-0.046	-0.046	0.019	-0.01
13	0.039	0.03	0.043	0.058	0.019	-0.031	0.053	-0.012	-0.05	-0.052	0.008	-0.03	0.023	-0.075	-0.006	-0.002	0.051	0.079	-0.02	-0.016	-0.005	-0.022	-0.015	-0.018	0.003	0.057	0.011	0.038	0.03	-0.008	0.015
14	-0.124	-0.158	-0.133	-0.183	-0.065	0.146	-0.169	0.045	0.204	0.199	-0.049	0.104	-0.075	0.26	0.04	0.016	-0.162	-0.268	0.094	0.082	0.018	0.089	0.076	0.081	-0.011	-0.197	-0.067	-0.112	-0.121	0.055	-0.019
15	-0.006	-0.1	-0.001	-0.005	-0.01	0.078	-0.009	0.011	0.074	0.057	-0.035	0.014	-0.006	0.04	0.032	0.017	-0.003	-0.034	0.051	0.047	0.003	0.03	0.045	0.036	-0.002	-0.031	-0.05	0.008	-0.044	0.047	0.042
16	0	-0.052	0.003	0.002	-0.004	0.039	-0.001	0.005	0.036	0.027	-0.018	0.005	-0.002	0.016	0.017	0.009	0.003	-0.012	0.026	0.024	0.001	0.014	0.023	0.018	-0.001	-0.012	-0.026	0.007	-0.022	0.025	0.024
17	0.088	0.032	0.099	0.134	0.041	-0.043	0.12	-0.025	-0.09	-0.101	0.007	-0.066	0.051	-0.162	-0.003	0.003	0.119	0.172	-0.027	-0.021	-0.011	-0.041	-0.018	-0.03	0.007	0.122	0.007	0.091	0.053	-0.001	0.05
18	0.131	0.142	0.142	0.195	0.067	-0.135	0.178	-0.045	-0.198	-0.197	0.043	-0.107	0.079	-0.268	-0.034	-0.012	0.172	0.278	-0.087	-0.075	-0.019	-0.087	-0.069	-0.077	0.012	0.203	0.058	0.122	0.117	-0.046	0.031
19	-0.026	-0.165	-0.021	-0.032	-0.023	0.131	-0.036	0.021	0.133	0.109	-0.056	0.035	-0.02	0.094	0.051	0.026	-0.027	-0.087	0.085	0.078	0.007	0.055	0.075	0.063	-0.004	-0.072	-0.08	-0.004	-0.08	0.074	0.056
20	-0.021	-0.151	-0.016	-0.026	-0.02	0.12	-0.03	0.019	0.12	0.098	-0.052	0.03	-0.016	0.082	0.047	0.024	-0.021	-0.075	0.078	0.071	0.006	0.05	0.069	0.057	-0.004	-0.062	-0.074	-0.001	-0.073	0.068	0.054
21	-0.008	-0.013	-0.009	-0.012	-0.005	0.011	-0.012	0.003	0.015	0.015	-0.004	0.007	-0.005	0.018	0.003	0.001	-0.011	-0.019	0.007	0.006	0.001	0.007	0.006	0.006	-0.001	-0.014	-0.006	-0.007	-0.009	0.005	0
22	-0.034	-0.103	-0.033	-0.047	-0.022	0.085	-0.047	0.018	0.096	0.085	-0.034	0.034	-0.022	0.089	0.03	0.014	-0.041	-0.087	0.055	0.05	0.007	0.041	0.048	0.043	-0.004	-0.067	-0.048	-0.022	-0.058	0.043	0.022
23	-0.019	-0.147	-0.013	-0.022	-0.019	0.116	-0.026	0.018	0.115	0.093	-0.05	0.028	-0.015	0.076	0.045	0.023	-0.018	-0.069	0.075	0.069	0.006	0.048	0.067	0.055	-0.003	-0.058	-0.072	0.001	-0.069	0.067	0.054
24	-0.026	-0.12	-0.024	-0.035	-0.02	0.097	-0.036	0.017	0.102	0.086	-0.041	0.031	-0.018	0.081	0.036	0.018	-0.03	-0.077	0.063	0.057	0.006	0.043	0.055	0.047	-0.004	-0.062	-0.058	-0.011	-0.062	0.053	0.036
25	0.005	0.007	0.006	0.008	0.003	-0.007	0.007	-0.002	-0.009	-0.009	0.002	-0.005	0.003	-0.011	-0.002	-0.001	0.007	0.012	-0.004	-0.004	-0.001	-0.004	-0.003	-0.004	0	0.009	0.003	0.005	0.005	-0.002	0.001
26	0.093	0.12	0.1	0.138	0.049	-0.111	0.127	-0.034	-0.154	-0.151	0.037	-0.079	0.057	-0.197	-0.031	-0.012	0.122	0.203	-0.072	-0.062	-0.014	-0.067	-0.058	-0.062	0.009	0.149	0.051	0.084	0.092	-0.042	0.013
27	0.012	0.159	0.005	0.01	0.017	-0.123	0.017	-0.017	-0.118	-0.092	0.055	-0.024	0.011	-0.067	-0.05	-0.026	0.007	0.058	-0.08	-0.074	-0.006	-0.048	-0.072	-0.058	0.003	0.051	0.079	-0.01	0.072	-0.074	-0.064
28	0.066	-0.008	0.076	0.102	0.028	-0.008	0.09	-0.016	-0.046	-0.059	-0.006	-0.046	0.038	-0.112	0.008	0.007	0.091	0.122	-0.004	-0.001	-0.007	-0.022	0.001	-0.011	0.005	0.084	-0.01	0.073	0.026	0.014	0.052
29	0.044	0.15	0.042	0.061	0.03	-0.123	0.061	-0.025	-0.137	-0.119	0.051	-0.046	0.03	-0.121	-0.044	-0.022	0.053	0.117	-0.08	-0.073	-0.009	-0.058	-0.069	-0.062	0.005	0.092	0.072	0.026	0.083	-0.064	-0.036
30	-0.007	-0.147	0.001	-0.003	-0.013	0.113	-0.01	0.015	0.106	0.081	-0.051	0.019	-0.008	0.055	0.047	0.025	-0.001	-0.046	0.074	0.068	0.005	0.043	0.067	0.053	-0.002	-0.042	-0.074	0.014	-0.064	0.069	0.063
31	0.031	-0.122	0.043	0.054	0.005	0.086	0.042	0.003	0.059	0.032	-0.044	-0.01	0.015	-0.019	0.042	0.024	0.05	0.031	0.056	0.054	0	0.022	0.054	0.036	0.001	0.013	-0.064	0.052	-0.036	0.063	0.079
