V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	V15	V16	V17	V18	V19	V20	V21	V22	V23	V24	V25	V26	V27	V28	V29	V30
t159	0.023	0.009	0.003	0.006	0.007	0.083	0.067	0.008	0.001	0.013	0.07	0.019	0.01	0.029	0.05	0.058	0.017	0.022	0.019	0.006	0.02	0.168	0.013	0.017	0.072	0.059	0.095	0.02	0.013	0.003
t52	0.009	0.037	0.004	0.013	0.001	0.143	0.047	0.024	0.006	0.004	0.015	0.064	0.004	0.013	0.063	0.011	0.013	0.039	0.005	0.053	0.014	0.092	0.003	0.016	0.033	0.02	0.21	0.028	0.007	0.01
t10	0.011	0.023	0.003	0.008	0.002	0.129	0.055	0.013	0.001	0.009	0.037	0.036	0.007	0.029	0.06	0.023	0.016	0.033	0.011	0.017	0.017	0.137	0.005	0.022	0.069	0.034	0.151	0.021	0.011	0.011
t96	0.033	0.018	0.005	0.012	0.004	0.095	0.049	0.02	0.011	0.006	0.027	0.043	0.008	0.036	0.063	0.028	0.017	0.03	0.009	0.021	0.021	0.138	0.014	0.006	0.034	0.04	0.16	0.038	0.012	0.002
t39	0.024	0.021	0.005	0.012	0.003	0.108	0.05	0.021	0.007	0.007	0.026	0.046	0.007	0.023	0.065	0.024	0.017	0.033	0.008	0.025	0.02	0.134	0.01	0.009	0.038	0.036	0.174	0.035	0.011	0.003
t90	0.015	0.029	0.005	0.013	0.001	0.125	0.049	0.023	0.007	0.005	0.02	0.055	0.006	0.023	0.065	0.016	0.015	0.036	0.006	0.036	0.017	0.113	0.006	0.011	0.036	0.027	0.193	0.032	0.009	0.006
t75	0.017	0.029	0.005	0.015	0.001	0.12	0.042	0.027	0.009	0.005	0.016	0.061	0.005	0.015	0.067	0.014	0.015	0.038	0.005	0.046	0.016	0.107	0.006	0.009	0.029	0.025	0.207	0.036	0.009	0.004
t36	0.015	0.032	0.005	0.014	0.001	0.124	0.042	0.025	0.009	0.005	0.017	0.06	0.005	0.026	0.066	0.013	0.015	0.037	0.005	0.041	0.016	0.108	0.006	0.009	0.033	0.024	0.201	0.033	0.009	0.005
t109	0.022	0.019	0.004	0.011	0.003	0.108	0.052	0.018	0.004	0.008	0.032	0.04	0.008	0.024	0.064	0.028	0.017	0.032	0.01	0.02	0.02	0.143	0.01	0.011	0.046	0.04	0.16	0.031	0.012	0.003
t198	0.005	0.051	0.004	0.019	0	0.097	0.017	0.041	0.064	0.001	0.002	0.102	0.001	0.005	0.044	0.002	0.006	0.031	0.001	0.193	0.006	0.032	0.001	0.003	0.006	0.005	0.224	0.029	0.003	0.004
t155	0.018	0.022	0.004	0.01	0.002	0.114	0.051	0.017	0.003	0.007	0.031	0.041	0.007	0.034	0.063	0.024	0.017	0.033	0.009	0.02	0.019	0.139	0.009	0.012	0.049	0.036	0.162	0.029	0.011	0.005
t158	0.017	0.027	0.005	0.013	0.001	0.121	0.049	0.022	0.008	0.006	0.021	0.054	0.006	0.025	0.065	0.017	0.015	0.035	0.006	0.033	0.017	0.117	0.007	0.01	0.036	0.029	0.189	0.033	0.01	0.005
t106	0.045	0.003	0.002	0.003	0.032	0.035	0.046	0.004	0.001	0.014	0.1	0.007	0.012	0.074	0.03	0.107	0.015	0.01	0.026	0.001	0.02	0.167	0.034	0.005	0.059	0.078	0.042	0.015	0.014	0
t113	0.015	0.027	0.005	0.013	0.001	0.127	0.053	0.022	0.007	0.006	0.021	0.054	0.006	0.016	0.065	0.017	0.015	0.036	0.006	0.036	0.017	0.114	0.006	0.013	0.037	0.028	0.191	0.031	0.009	0.006
t79	0.004	0.049	0.004	0.013	0	0.157	0.036	0.026	0.004	0.003	0.009	0.073	0.003	0.006	0.058	0.005	0.01	0.041	0.003	0.085	0.01	0.067	0.001	0.019	0.027	0.012	0.227	0.022	0.005	0.02
t151	0.015	0.018	0.004	0.009	0.003	0.117	0.068	0.013	0.002	0.01	0.043	0.033	0.007	0.021	0.059	0.032	0.016	0.03	0.012	0.015	0.018	0.143	0.007	0.022	0.061	0.041	0.141	0.023	0.011	0.006
t42	0	0.048	0.001	0.01	0	0.034	0.002	0.029	0.107	0	0	0.08	0	0	0.011	0	0.001	0.011	0	0.543	0.001	0.003	0	0.001	0	0	0.107	0.008	0	0.003
t88	0	0.038	0	0.005	0	0.016	0	0.018	0.096	0	0	0.054	0	0	0.004	0	0	0.005	0	0.7	0	0.001	0	0	0	0	0.056	0.003	0	0.002
t107	0.014	0.031	0.005	0.014	0.001	0.13	0.048	0.024	0.008	0.005	0.018	0.059	0.005	0.017	0.065	0.014	0.014	0.037	0.006	0.043	0.016	0.106	0.005	0.012	0.033	0.025	0.201	0.032	0.009	0.006
t5	0.014	0.031	0.005	0.014	0.001	0.126	0.043	0.025	0.008	0.005	0.017	0.06	0.005	0.02	0.066	0.013	0.015	0.038	0.006	0.042	0.016	0.108	0.006	0.01	0.033	0.025	0.203	0.033	0.009	0.006
t68	0.01	0.044	0.005	0.018	0	0.117	0.026	0.037	0.026	0.002	0.006	0.087	0.003	0.013	0.059	0.005	0.01	0.038	0.002	0.1	0.011	0.065	0.003	0.005	0.015	0.012	0.236	0.035	0.005	0.005
t33	0.019	0.025	0.005	0.013	0.002	0.117	0.049	0.022	0.008	0.006	0.022	0.052	0.006	0.021	0.066	0.019	0.016	0.035	0.007	0.032	0.018	0.121	0.008	0.01	0.035	0.031	0.187	0.034	0.01	0.004
t176	0.017	0.022	0.004	0.011	0.002	0.12	0.058	0.018	0.004	0.007	0.029	0.044	0.007	0.02	0.064	0.024	0.016	0.034	0.009	0.024	0.018	0.131	0.007	0.015	0.045	0.035	0.17	0.029	0.01	0.005
t133	0.01	0.043	0.005	0.017	0	0.122	0.032	0.034	0.023	0.002	0.007	0.083	0.003	0.014	0.06	0.006	0.011	0.038	0.002	0.088	0.012	0.07	0.003	0.006	0.017	0.014	0.231	0.034	0.006	0.005
t65	0.002	0.07	0.003	0.015	0	0.124	0.016	0.035	0.012	0.001	0.002	0.099	0.001	0.004	0.043	0.001	0.005	0.035	0.001	0.204	0.005	0.03	0.001	0.007	0.009	0.004	0.232	0.02	0.002	0.017
t134	0.015	0.025	0.004	0.011	0.002	0.122	0.048	0.019	0.003	0.007	0.026	0.046	0.006	0.027	0.065	0.02	0.016	0.035	0.008	0.026	0.018	0.129	0.007	0.013	0.046	0.032	0.177	0.029	0.01	0.006
t110	0.011	0.042	0.005	0.017	0	0.119	0.029	0.035	0.021	0.002	0.007	0.082	0.003	0.017	0.061	0.006	0.011	0.038	0.003	0.083	0.012	0.073	0.004	0.006	0.018	0.014	0.231	0.036	0.006	0.005
t30	0.006	0.044	0.004	0.013	0	0.152	0.04	0.024	0.004	0.004	0.013	0.066	0.004	0.014	0.062	0.008	0.012	0.04	0.004	0.059	0.012	0.084	0.002	0.017	0.034	0.016	0.216	0.025	0.007	0.016
t104	0.012	0.038	0.005	0.017	0.001	0.122	0.033	0.033	0.017	0.003	0.009	0.077	0.004	0.012	0.063	0.008	0.012	0.039	0.003	0.076	0.013	0.081	0.004	0.007	0.02	0.017	0.229	0.036	0.007	0.005
t150	0.017	0.023	0.004	0.011	0.002	0.122	0.057	0.018	0.004	0.007	0.028	0.045	0.007	0.023	0.064	0.023	0.016	0.034	0.008	0.025	0.018	0.129	0.007	0.014	0.045	0.033	0.171	0.029	0.01	0.006
t116	0.066	0.002	0.002	0.003	0.045	0.028	0.04	0.004	0.001	0.012	0.087	0.007	0.013	0.063	0.029	0.113	0.014	0.01	0.024	0.001	0.021	0.163	0.05	0.003	0.044	0.083	0.04	0.018	0.014	0
t124	0.012	0.039	0.005	0.016	0.001	0.124	0.033	0.032	0.016	0.003	0.009	0.077	0.004	0.015	0.063	0.007	0.012	0.039	0.003	0.074	0.013	0.081	0.004	0.007	0.021	0.016	0.228	0.035	0.007	0.005
t80	0.021	0.02	0.004	0.011	0.003	0.11	0.053	0.018	0.004	0.007	0.031	0.041	0.007	0.028	0.064	0.026	0.017	0.032	0.01	0.02	0.019	0.14	0.009	0.011	0.046	0.038	0.162	0.031	0.011	0.004
t170	0.026	0.004	0.002	0.003	0.018	0.05	0.057	0.004	0	0.017	0.109	0.009	0.011	0.046	0.035	0.094	0.015	0.013	0.028	0.001	0.019	0.173	0.019	0.012	0.082	0.073	0.051	0.014	0.014	0.001
t67	0.03	0.012	0.004	0.008	0.006	0.086	0.055	0.013	0.003	0.01	0.047	0.028	0.009	0.037	0.057	0.044	0.018	0.026	0.014	0.01	0.022	0.163	0.016	0.01	0.053	0.052	0.122	0.029	0.013	0.002
