feature_1	feature_2	feature_3	feature_4	feature_5	feature_6	feature_7	feature_8	feature_9	feature_10	feature_11	feature_12	feature_13	feature_14	feature_15	feature_16	feature_17	feature_18	feature_19	feature_20	feature_21	feature_22	feature_23	feature_24	feature_25	feature_26	feature_27	feature_28	feature_29	feature_30
t159	0.028	-0.13	-1.601	-0.735	-1.832	1.689	1.085	-0.29	-1.868	-0.822	0.649	0.577	-0.941	0.304	1.122	0.462	-0.15	0.422	-0.581	-0.224	-0.013	1.994	-0.739	-0.366	0.963	0.744	1.998	0.34	-0.527	-1.586
t52	-0.246	0.386	-1.438	-0.41	-2.654	1.921	1.012	0.117	-1.207	-1.145	0.172	1.028	-1.183	0.083	1.246	-0.075	-0.202	0.655	-1.017	0.572	-0.112	1.834	-1.176	-0.342	0.746	0.416	2.308	0.482	-0.689	-1.107
t10	-0.22	0.152	-1.567	-0.64	-2.258	1.832	1.04	-0.155	-1.877	-0.916	0.487	0.759	-1.047	0.331	1.181	0.2	-0.168	0.544	-0.725	0.08	-0.072	1.943	-1.009	-0.246	0.978	0.586	2.134	0.344	-0.588	-1.13
t96	0.125	0.044	-1.47	-0.532	-2.048	1.695	0.963	-0.037	-1.123	-1.085	0.335	0.797	-1.027	0.382	1.166	0.21	-0.176	0.487	-0.851	0.138	-0.034	1.905	-0.725	-0.714	0.701	0.599	2.124	0.509	-0.601	-1.778
t39	0.009	0.112	-1.473	-0.521	-2.181	1.76	0.979	-0.013	-1.299	-1.061	0.328	0.835	-1.055	0.215	1.19	0.161	-0.174	0.536	-0.847	0.227	-0.047	1.904	-0.843	-0.563	0.753	0.576	2.168	0.486	-0.609	-1.577
t90	-0.069	0.222	-1.456	-0.472	-2.364	1.811	0.993	0.036	-1.158	-1.116	0.253	0.914	-1.108	0.256	1.205	0.063	-0.191	0.57	-0.94	0.355	-0.077	1.867	-0.962	-0.521	0.726	0.502	2.216	0.491	-0.648	-1.423
t75	-0.029	0.239	-1.414	-0.416	-2.383	1.812	0.948	0.121	-1.057	-1.164	0.178	0.965	-1.119	0.099	1.227	0.015	-0.187	0.601	-0.974	0.467	-0.067	1.859	-0.932	-0.598	0.663	0.492	2.258	0.547	-0.653	-1.524
t36	-0.122	0.356	-1.407	-0.386	-2.545	1.858	0.922	0.159	-1.019	-1.213	0.114	1.031	-1.159	0.247	1.241	-0.094	-0.199	0.635	-1.043	0.557	-0.095	1.834	-1.028	-0.588	0.667	0.419	2.3	0.544	-0.68	-1.34
t109	0.045	0.012	-1.513	-0.594	-2.027	1.721	1.003	-0.105	-1.469	-0.985	0.435	0.74	-1.008	0.258	1.164	0.273	-0.164	0.49	-0.753	0.061	-0.029	1.938	-0.774	-0.537	0.812	0.641	2.104	0.446	-0.577	-1.637
t198	-0.16	0.644	-1.253	-0.111	-3.026	1.968	0.89	0.484	-0.222	-1.487	-0.263	1.355	-1.322	-0.029	1.321	-0.427	-0.239	0.77	-1.393	1.145	-0.145	1.706	-1.233	-0.699	0.395	0.213	2.509	0.707	-0.8	-1.295
t155	-0.052	0.13	-1.495	-0.55	-2.2	1.778	0.972	-0.04	-1.471	-1.03	0.36	0.819	-1.051	0.264	1.191	0.158	-0.171	0.544	-0.813	0.194	-0.052	1.917	-0.876	-0.504	0.813	0.576	2.164	0.454	-0.601	-1.462
t158	-0.162	0.368	-1.414	-0.387	-2.595	1.883	0.965	0.149	-1.047	-1.194	0.127	1.037	-1.173	0.163	1.243	-0.088	-0.202	0.643	-1.045	0.577	-0.103	1.829	-1.089	-0.494	0.684	0.415	2.306	0.525	-0.688	-1.264
t106	0.368	-0.563	-1.711	-0.985	-1.067	1.436	1.068	-0.601	-2.158	-0.635	0.986	0.211	-0.724	0.792	1.007	0.878	-0.11	0.199	-0.27	-0.917	0.075	2.116	-0.249	-0.639	1.062	0.999	1.725	0.275	-0.392	-2.173
t113	-0.169	0.403	-1.383	-0.332	-2.682	1.91	0.981	0.213	-0.928	-1.227	0.068	1.095	-1.204	-0.033	1.262	-0.13	-0.207	0.673	-1.096	0.704	-0.106	1.808	-1.139	-0.465	0.634	0.392	2.349	0.555	-0.709	-1.269
t79	-0.444	0.584	-1.403	-0.32	-3.003	2.051	1.018	0.24	-1.245	-1.194	0.051	1.178	-1.274	-0.168	1.302	-0.256	-0.214	0.766	-1.117	0.865	-0.15	1.795	-1.418	-0.158	0.753	0.312	2.431	0.488	-0.738	-0.765
t151	-0.14	0.111	-1.542	-0.603	-2.235	1.813	1.084	-0.129	-1.643	-0.941	0.46	0.774	-1.056	0.177	1.177	0.229	-0.175	0.53	-0.766	0.126	-0.064	1.923	-0.986	-0.271	0.898	0.596	2.135	0.377	-0.602	-1.284
t42	-0.404	0.964	-1.181	0.057	-3.57	2.134	0.867	0.698	-0.005	-1.642	-0.518	1.611	-1.477	-0.233	1.394	-0.748	-0.273	0.919	-1.627	1.612	-0.216	1.614	-1.566	-0.568	0.32	0.014	2.694	0.75	-0.9	-0.878
t88	-0.722	1.387	-1.092	0.288	-4.365	2.293	0.73	1.007	0.478	-1.982	-0.998	1.961	-1.744	-0.434	1.454	-1.296	-0.371	1.08	-2.062	2.264	-0.359	1.423	-2.012	-0.604	0.091	-0.337	2.92	0.819	-1.094	-0.465
t107	-0.048	0.091	-1.512	-0.57	-2.181	1.776	1.042	-0.086	-1.451	-0.995	0.407	0.79	-1.05	0.206	1.177	0.217	-0.175	0.52	-0.801	0.152	-0.053	1.914	-0.9	-0.422	0.822	0.595	2.139	0.429	-0.604	-1.461
t5	-0.026	0.095	-1.503	-0.565	-2.154	1.762	0.993	-0.067	-1.454	-1.015	0.387	0.794	-1.041	0.274	1.18	0.196	-0.171	0.524	-0.8	0.15	-0.048	1.92	-0.855	-0.503	0.813	0.593	2.143	0.447	-0.597	-1.505
t68	-0.059	0.38	-1.362	-0.321	-2.574	1.848	0.89	0.24	-0.769	-1.29	0.021	1.09	-1.178	0.2	1.254	-0.148	-0.204	0.65	-1.117	0.664	-0.093	1.81	-0.996	-0.707	0.571	0.392	2.334	0.606	-0.698	-1.468
t33	-0.025	0.177	-1.457	-0.485	-2.286	1.787	0.98	0.026	-1.187	-1.103	0.273	0.887	-1.087	0.234	1.2	0.098	-0.184	0.557	-0.909	0.313	-0.063	1.88	-0.903	-0.559	0.724	0.53	2.199	0.498	-0.633	-1.511
t176	-0.081	0.114	-1.515	-0.569	-2.22	1.793	1.047	-0.084	-1.487	-0.992	0.406	0.8	-1.059	0.199	1.181	0.201	-0.176	0.531	-0.804	0.169	-0.059	1.913	-0.934	-0.385	0.837	0.585	2.148	0.42	-0.608	-1.398
t133	-0.042	0.248	-1.429	-0.432	-2.394	1.809	0.967	0.087	-1.017	-1.166	0.193	0.954	-1.122	0.247	1.213	0.02	-0.195	0.582	-0.988	0.424	-0.078	1.851	-0.949	-0.593	0.672	0.479	2.239	0.527	-0.66	-1.48
t65	-0.566	1.012	-1.231	-0.011	-3.624	2.193	0.867	0.637	-0.47	-1.547	-0.427	1.578	-1.465	-0.183	1.405	-0.748	-0.258	0.95	-1.53	1.547	-0.223	1.653	-1.661	-0.379	0.483	0.023	2.694	0.672	-0.873	-0.565
t134	-0.025	0.082	-1.515	-0.588	-2.114	1.751	0.977	-0.09	-1.525	-1.001	0.411	0.77	-1.026	0.351	1.175	0.21	-0.167	0.515	-0.773	0.098	-0.045	1.932	-0.829	-0.52	0.837	0.604	2.127	0.437	-0.585	-1.503
t110	-0.036	0.318	-1.39	-0.372	-2.471	1.82	0.9	0.175	-0.878	-1.243	0.092	1.026	-1.146	0.273	1.235	-0.078	-0.198	0.617	-1.056	0.545	-0.083	1.832	-0.947	-0.702	0.612	0.432	2.289	0.578	-0.676	-1.501
t30	-0.339	0.328	-1.517	-0.532	-2.561	1.927	1.04	-0.023	-1.7	-1.007	0.339	0.912	-1.135	0.171	1.225	0.026	-0.186	0.629	-0.865	0.363	-0.107	1.889	-1.193	-0.171	0.92	0.478	2.244	0.38	-0.645	-0.924
