V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	V15	V16	V17	V18	V19	V20	V21	V22	V23	V24	V25	V26	V27	V28	V29	V30	V31
1	0.025	-0.007	0.024	0	0.02	-0.006	0	-0.021	-0.012	0.009	-0.025	-0.003	-0.007	-0.016	-0.045	-0.041	0.009	0.016	-0.009	-0.017	-0.003	-0.006	-0.022	-0.028	0.005	-0.008	-0.009	0.001	0.004	0.008	0.037
2	-0.007	0.262	0.017	0.082	0.022	-0.02	0.052	0.168	0.192	0.01	0.097	0.035	-0.045	0.069	0.055	0.064	0.036	-0.049	0.046	0.177	0.041	0.021	0.194	0.003	-0.14	0.065	0.019	-0.008	0.002	-0.057	-0.285
3	0.024	0.017	0.043	0.01	0.001	-0.009	0.008	-0.006	0.022	0.002	-0.034	-0.001	-0.012	-0.009	-0.062	-0.061	0.015	0.026	0.004	0.011	-0.028	-0.004	0.001	-0.01	-0.007	-0.008	-0.007	0.002	0.015	0.009	-0.018
4	0	0.082	0.01	0.029	0.019	-0.009	0.021	0.054	0.061	0.005	0.025	0.012	-0.015	0.027	0.013	0.013	0.017	-0.013	0.012	0.054	0.017	0.003	0.059	-0.002	-0.045	0.01	0.008	-0.001	-0.002	-0.015	-0.092
5	0.02	0.022	0.001	0.019	0.249	-0.026	0.09	0.025	-0.117	0.023	-0.078	-0.048	0.113	0.049	0.162	-0.114	0.031	-0.026	-0.076	-0.186	0.07	-0.039	-0.02	-0.094	-0.055	-0.221	-0.01	0.076	-0.11	0.019	-0.012
6	-0.006	-0.02	-0.009	-0.009	-0.026	0.005	-0.013	-0.011	-0.005	-0.003	0.007	0.001	-0.004	-0.007	-0.006	0.017	-0.009	0	0.003	0.004	-0.006	0.004	-0.01	0.01	0.014	0.018	0	-0.006	0.008	0	0.021
7	0	0.052	0.008	0.021	0.09	-0.013	0.055	0.045	-0.008	-0.001	-0.028	-0.021	0.053	0.029	0.098	-0.055	0.016	-0.014	-0.012	-0.048	0.011	-0.009	0.045	-0.009	-0.05	-0.098	0.004	0.039	-0.049	0.004	-0.098
8	-0.021	0.168	-0.006	0.054	0.025	-0.011	0.045	0.129	0.119	0	0.07	0.016	-0.009	0.047	0.096	0.057	0.02	-0.045	0.036	0.108	0.034	0.016	0.15	0.019	-0.101	0.021	0.023	0.007	-0.02	-0.036	-0.222
9	-0.012	0.192	0.022	0.061	-0.117	-0.005	-0.008	0.119	0.245	0.001	0.127	0.068	-0.12	0.022	-0.07	0.125	0.023	-0.017	0.091	0.278	0.006	0.036	0.174	0.058	-0.082	0.187	0.039	-0.056	0.064	-0.051	-0.224
10	0.009	0.01	0.002	0.005	0.023	-0.003	-0.001	0	0.001	0.014	0.008	0.005	-0.012	-0.004	-0.014	0.01	0.006	-0.003	-0.005	0.009	0.022	-0.002	-0.006	-0.028	-0.008	0.013	0.001	-0.005	-0.002	-0.004	0.025
11	-0.025	0.097	-0.034	0.025	-0.078	0.007	-0.028	0.07	0.127	0.008	0.129	0.05	-0.081	0.01	-0.008	0.162	-0.002	-0.04	0.052	0.173	0.048	0.028	0.093	0.027	-0.038	0.158	0.029	-0.049	0.034	-0.046	-0.077
12	-0.003	0.035	-0.001	0.012	-0.048	0.001	-0.021	0.016	0.068	0.005	0.05	0.033	-0.058	0.012	-0.061	0.063	0.007	-0.003	0.02	0.091	0.016	0.007	0.019	0.012	-0.001	0.084	0.01	-0.034	0.036	-0.017	-0.012
13	-0.007	-0.045	-0.012	-0.015	0.113	-0.004	0.053	-0.009	-0.12	-0.012	-0.081	-0.058	0.118	0.012	0.152	-0.102	-0.007	-0.009	-0.044	-0.173	-0.01	-0.018	-0.024	-0.013	-0.008	-0.178	-0.014	0.067	-0.078	0.026	-0.011
14	-0.016	0.069	-0.009	0.027	0.049	-0.007	0.029	0.047	0.022	-0.004	0.01	0.012	0.012	0.11	0.025	0.003	0.018	-0.019	-0.033	-0.01	0.026	-0.017	-0.002	-0.001	-0.022	-0.05	-0.014	0.004	0.002	-0.019	-0.073
15	-0.045	0.055	-0.062	0.013	0.162	-0.006	0.098	0.096	-0.07	-0.014	-0.008	-0.061	0.152	0.025	0.355	-0.017	-0.01	-0.073	-0.011	-0.127	0.044	0.002	0.116	0.017	-0.094	-0.19	0.027	0.092	-0.143	0	-0.179
16	-0.041	0.064	-0.061	0.013	-0.114	0.017	-0.055	0.057	0.125	0.01	0.162	0.063	-0.102	0.003	-0.017	0.227	-0.014	-0.048	0.057	0.198	0.064	0.033	0.075	0.037	-0.014	0.207	0.038	-0.069	0.046	-0.052	-0.027
17	0.009	0.036	0.015	0.017	0.031	-0.009	0.016	0.02	0.023	0.006	-0.002	0.007	-0.007	0.018	-0.01	-0.014	0.017	0.001	-0.003	0.014	0.013	-0.006	0.015	-0.012	-0.02	-0.012	0.003	0.001	-0.002	-0.002	-0.033
18	0.016	-0.049	0.026	-0.013	-0.026	0	-0.014	-0.045	-0.017	-0.003	-0.04	-0.003	-0.009	-0.019	-0.073	-0.048	0.001	0.033	-0.003	-0.017	-0.034	-0.006	-0.046	0.003	0.034	-0.003	-0.009	-0.005	0.021	0.018	0.054
19	-0.009	0.046	0.004	0.012	-0.076	0.003	-0.012	0.036	0.091	-0.005	0.052	0.02	-0.044	-0.033	-0.011	0.057	-0.003	-0.003	0.057	0.117	-0.013	0.024	0.082	0.043	-0.026	0.09	0.027	-0.021	0.019	-0.013	-0.083
20	-0.017	0.177	0.011	0.054	-0.186	0.004	-0.048	0.108	0.278	0.009	0.173	0.091	-0.173	-0.01	-0.127	0.198	0.014	-0.017	0.117	0.356	0.013	0.05	0.172	0.065	-0.065	0.29	0.05	-0.091	0.096	-0.061	-0.175
21	-0.003	0.041	-0.028	0.017	0.07	-0.006	0.011	0.034	0.006	0.022	0.048	0.016	-0.01	0.026	0.044	0.064	0.013	-0.034	-0.013	0.013	0.08	-0.006	0.014	-0.04	-0.028	0.008	0.013	-0.006	-0.024	-0.018	0.006
22	-0.006	0.021	-0.004	0.003	-0.039	0.004	-0.009	0.016	0.036	-0.002	0.028	0.007	-0.018	-0.017	0.002	0.033	-0.006	-0.006	0.024	0.05	-0.006	0.014	0.037	0.017	-0.011	0.047	0.009	-0.01	0.009	-0.009	-0.032
23	-0.022	0.194	0.001	0.059	-0.02	-0.01	0.045	0.15	0.174	-0.006	0.093	0.019	-0.024	-0.002	0.116	0.075	0.015	-0.046	0.082	0.172	0.014	0.037	0.225	0.053	-0.125	0.066	0.047	0.005	-0.022	-0.037	-0.29
24	-0.028	0.003	-0.01	-0.002	-0.094	0.01	-0.009	0.019	0.058	-0.028	0.027	0.012	-0.013	-0.001	0.017	0.037	-0.012	0.003	0.043	0.065	-0.04	0.017	0.053	0.091	0.006	0.038	0.021	-0.011	0.02	-0.002	-0.088
25	0.005	-0.14	-0.007	-0.045	-0.055	0.014	-0.05	-0.101	-0.082	-0.008	-0.038	-0.001	-0.008	-0.022	-0.094	-0.014	-0.02	0.034	-0.026	-0.065	-0.028	-0.011	-0.125	0.006	0.096	0.009	-0.018	-0.019	0.034	0.023	0.176
26	-0.008	0.065	-0.008	0.01	-0.221	0.018	-0.098	0.021	0.187	0.013	0.158	0.084	-0.178	-0.05	-0.19	0.207	-0.012	-0.003	0.09	0.29	0.008	0.047	0.066	0.038	0.009	0.318	0.027	-0.107	0.117	-0.05	0.011
27	-0.009	0.019	-0.007	0.008	-0.01	0	0.004	0.023	0.039	0.001	0.029	0.01	-0.014	-0.014	0.027	0.038	0.003	-0.009	0.027	0.05	0.013	0.009	0.047	0.021	-0.018	0.027	0.027	-0.005	-0.008	-0.003	-0.045
28	0.001	-0.008	0.002	-0.001	0.076	-0.006	0.039	0.007	-0.056	-0.005	-0.049	-0.034	0.067	0.004	0.092	-0.069	0.001	-0.005	-0.021	-0.091	-0.006	-0.01	0.005	-0.011	-0.019	-0.107	-0.005	0.043	-0.05	0.015	-0.032
29	0.004	0.002	0.015	-0.002	-0.11	0.008	-0.049	-0.02	0.064	-0.002	0.034	0.036	-0.078	0.002	-0.143	0.046	-0.002	0.021	0.019	0.096	-0.024	0.009	-0.022	0.02	0.034	0.117	-0.008	-0.05	0.075	-0.013	0.037
30	0.008	-0.057	0.009	-0.015	0.019	0	0.004	-0.036	-0.051	-0.004	-0.046	-0.017	0.026	-0.019	0	-0.052	-0.002	0.018	-0.013	-0.061	-0.018	-0.009	-0.037	-0.002	0.023	-0.05	-0.003	0.015	-0.013	0.021	0.045
31	0.037	-0.285	-0.018	-0.092	-0.012	0.021	-0.098	-0.222	-0.224	0.025	-0.077	-0.012	-0.011	-0.073	-0.179	-0.027	-0.033	0.054	-0.083	-0.175	0.006	-0.032	-0.29	-0.088	0.176	0.011	-0.045	-0.032	0.037	0.045	0.471
