V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	V15	V16	V17	V18	V19	V20	V21	V22	V23	V24	V25	V26	V27	V28	V29	V30
t75	0.008	0.087	0.046	0.008	0.001	0.004	0.007	0.019	0.036	0.01	0.042	0.003	0.003	0.003	0.014	0.25	0.013	0.003	0.011	0.085	0.012	0.026	0.126	0.048	0.005	0.043	0.005	0.009	0.071	0.003
t125	0.03	0.033	0.169	0.012	0.004	0.008	0.012	0.012	0.009	0.015	0.012	0.004	0.008	0.011	0.003	0.066	0.034	0.013	0.004	0.009	0.013	0.025	0.019	0.046	0.061	0.014	0.003	0.021	0.321	0.009
t72	0.038	0.007	0.183	0.01	0.036	0.009	0.038	0.009	0.002	0.018	0.005	0.002	0.061	0.004	0.077	0.022	0.042	0.018	0.006	0.001	0.018	0.027	0.036	0.093	0.063	0.001	0.007	0.082	0.056	0.027
t38	0.009	0.011	0.071	0.004	0	0.002	0.001	0.002	0.041	0.005	0.012	0.005	0	0.003	0	0.105	0.012	0.008	0.005	0.118	0.003	0.009	0.006	0.043	0.028	0.103	0.002	0.001	0.39	0.002
t146	0.022	0.219	0.196	0.023	0.029	0.002	0.034	0.039	0.034	0.011	0.008	0.004	0.005	0.02	0.006	0.018	0.061	0.006	0.004	0.019	0.022	0.011	0.077	0.032	0.005	0.002	0.004	0.018	0.064	0.005
t116	0.01	0.031	0.04	0.014	0.081	0.003	0.027	0.027	0.015	0.017	0.028	0.004	0.005	0.006	0.067	0.229	0.043	0.003	0.006	0.018	0.133	0.011	0.098	0.026	0.005	0.003	0.014	0.018	0.015	0.005
t55	0.013	0.19	0.059	0.009	0.001	0.002	0.005	0.021	0.069	0.006	0.03	0.003	0	0.002	0.001	0.112	0.018	0.002	0.005	0.098	0.012	0.011	0.167	0.023	0.003	0.048	0.002	0.003	0.084	0.001
t65	0.061	0.023	0.197	0.015	0.145	0.005	0.033	0.01	0.008	0.037	0.011	0.004	0.01	0.003	0.015	0.051	0.066	0.012	0.006	0.008	0.091	0.018	0.039	0.011	0.02	0.004	0.011	0.035	0.039	0.014
t49	0.007	0.051	0.058	0.009	0.005	0.002	0.017	0.021	0.055	0.005	0.01	0.002	0.003	0.001	0.029	0.046	0.022	0.003	0.01	0.038	0.01	0.011	0.452	0.086	0.003	0.003	0.011	0.011	0.018	0.004
t164	0.041	0.013	0.245	0.013	0.071	0.007	0.044	0.008	0.004	0.022	0.004	0.003	0.036	0.015	0.024	0.016	0.061	0.021	0.005	0.002	0.022	0.019	0.021	0.054	0.049	0.001	0.007	0.068	0.08	0.023
t54	0.007	0.314	0.034	0.009	0.005	0.002	0.013	0.049	0.022	0.005	0.017	0.001	0.004	0.002	0.045	0.05	0.012	0.001	0.004	0.019	0.011	0.012	0.312	0.018	0.001	0.004	0.002	0.01	0.016	0.001
t73	0.009	0.097	0.07	0.009	0.001	0.003	0.011	0.02	0.08	0.006	0.016	0.002	0.003	0.002	0.013	0.079	0.015	0.004	0.012	0.071	0.005	0.019	0.291	0.076	0.004	0.012	0.005	0.01	0.052	0.003
t152	0.02	0.008	0.109	0.008	0.003	0.008	0.013	0.005	0.013	0.012	0.013	0.006	0.008	0.009	0.006	0.098	0.034	0.017	0.007	0.015	0.017	0.02	0.015	0.228	0.087	0.01	0.008	0.015	0.175	0.012
t113	0.03	0.006	0.214	0.007	0.004	0.009	0.022	0.005	0.006	0.011	0.004	0.003	0.029	0.003	0.023	0.018	0.029	0.024	0.009	0.005	0.005	0.03	0.028	0.214	0.078	0.003	0.006	0.044	0.11	0.02
t195	0.025	0.021	0.217	0.013	0.01	0.006	0.032	0.015	0.012	0.012	0.006	0.003	0.021	0.004	0.023	0.021	0.042	0.017	0.01	0.007	0.009	0.025	0.104	0.157	0.029	0.003	0.008	0.046	0.086	0.017
t166	0.015	0.047	0.095	0.017	0.033	0.004	0.047	0.036	0.017	0.009	0.009	0.003	0.015	0.009	0.096	0.041	0.046	0.006	0.006	0.007	0.029	0.015	0.187	0.122	0.01	0.001	0.01	0.034	0.029	0.009
t192	0.014	0.011	0.047	0.007	0.012	0.007	0.026	0.012	0.004	0.008	0.011	0.002	0.033	0.005	0.247	0.078	0.022	0.006	0.005	0.002	0.022	0.022	0.07	0.203	0.033	0.002	0.008	0.036	0.035	0.011
t30	0.063	0.011	0.338	0.012	0.037	0.006	0.027	0.006	0.007	0.026	0.005	0.004	0.013	0.003	0.006	0.02	0.061	0.026	0.007	0.006	0.022	0.02	0.027	0.037	0.046	0.003	0.008	0.04	0.091	0.023
t33	0.055	0.008	0.321	0.012	0.024	0.004	0.011	0.004	0.008	0.026	0.007	0.006	0.003	0.006	0	0.031	0.066	0.022	0.003	0.01	0.036	0.011	0.004	0.009	0.07	0.009	0.004	0.014	0.203	0.011
t149	0.009	0.279	0.036	0.013	0.009	0.003	0.011	0.034	0.024	0.012	0.035	0.003	0.002	0.012	0.01	0.231	0.022	0.002	0.002	0.028	0.049	0.012	0.065	0.011	0.003	0.013	0.002	0.007	0.059	0.001
t23	0.019	0.034	0.177	0.015	0.013	0.003	0.029	0.014	0.058	0.013	0.011	0.005	0.004	0.004	0.012	0.041	0.055	0.012	0.014	0.047	0.023	0.016	0.149	0.125	0.01	0.004	0.019	0.018	0.047	0.01
t76	0.02	0.079	0.132	0.02	0.029	0.005	0.036	0.02	0.024	0.016	0.015	0.006	0.01	0.044	0.018	0.064	0.066	0.01	0.005	0.012	0.041	0.016	0.049	0.098	0.021	0.003	0.008	0.024	0.102	0.009
t199	0.011	0.032	0.192	0.009	0.001	0.004	0.008	0.012	0.059	0.007	0.009	0.003	0.002	0.002	0.001	0.033	0.023	0.012	0.015	0.115	0.002	0.019	0.089	0.132	0.011	0.022	0.004	0.01	0.155	0.006
t182	0.006	0.17	0.073	0.014	0.003	0.001	0.009	0.035	0.121	0.007	0.02	0.004	0.001	0.009	0.001	0.098	0.029	0.003	0.005	0.174	0.015	0.008	0.09	0.021	0.002	0.012	0.003	0.004	0.061	0.002
t92	0.031	0.01	0.12	0.014	0.044	0.008	0.025	0.013	0.007	0.028	0.018	0.005	0.015	0.004	0.028	0.162	0.053	0.012	0.008	0.008	0.073	0.025	0.049	0.046	0.047	0.006	0.014	0.04	0.068	0.018
t59	0.051	0.002	0.133	0.006	0.009	0.013	0.01	0.002	0.002	0.034	0.015	0.004	0.016	0.001	0.015	0.126	0.029	0.023	0.013	0.006	0.035	0.04	0.012	0.065	0.137	0.024	0.01	0.032	0.109	0.026
t37	0.027	0.012	0.276	0.005	0	0.006	0.005	0.002	0.019	0.008	0.004	0.002	0.003	0.001	0.001	0.013	0.016	0.025	0.013	0.025	0.001	0.026	0.023	0.102	0.039	0.029	0.003	0.011	0.292	0.009
