V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	V15	V16	V17	V18	V19	V20	V21	V22	V23	V24	V25	V26	V27	V28	V29	V30
t35	0.011	0.007	0.042	0.02	0.005	0.005	0.015	0.221	0.004	0.072	0.004	0.009	0.09	0.027	0.066	0.06	0.009	0.03	0.014	0.003	0.01	0.032	0.003	0.027	0.093	0.004	0.028	0.038	0.031	0.018
t42	0.006	0.002	0.053	0.018	0.02	0.017	0.004	0.124	0.011	0.034	0.005	0.01	0.021	0.011	0.079	0.021	0.006	0.006	0.066	0.002	0.024	0.199	0.02	0.021	0.061	0.002	0.009	0.031	0.112	0.005
t57	0.012	0.007	0.029	0.041	0.008	0.003	0.026	0.185	0.003	0.093	0.003	0.005	0.042	0.033	0.025	0.06	0.009	0.032	0.008	0.007	0.005	0.032	0.003	0.055	0.102	0.004	0.067	0.067	0.02	0.017
t11	0.008	0.006	0.005	0.031	0.001	0	0.065	0.118	0	0.092	0.001	0.001	0.046	0.036	0.001	0.07	0.004	0.02	0.001	0.004	0	0.002	0.001	0.227	0.067	0.004	0.125	0.038	0.001	0.024
t143	0.008	0.005	0.053	0.01	0.005	0.011	0.007	0.222	0.009	0.047	0.004	0.014	0.127	0.018	0.078	0.047	0.007	0.012	0.043	0.001	0.022	0.046	0.008	0.026	0.076	0.003	0.009	0.02	0.048	0.014
t100	0.012	0.008	0.014	0.034	0.003	0.001	0.044	0.166	0.001	0.104	0.002	0.003	0.052	0.037	0.009	0.072	0.007	0.043	0.002	0.006	0.001	0.007	0.001	0.075	0.089	0.005	0.116	0.059	0.005	0.023
t125	0.012	0.01	0.03	0.02	0.003	0.002	0.022	0.203	0.002	0.084	0.003	0.005	0.088	0.032	0.064	0.068	0.009	0.07	0.004	0.004	0.004	0.013	0.001	0.019	0.088	0.005	0.054	0.045	0.016	0.022
t134	0.002	0	0.034	0.003	0.009	0.034	0.001	0.059	0.018	0.008	0.002	0.012	0.021	0.003	0.024	0.007	0.002	0	0.322	0	0.049	0.165	0.101	0.014	0.021	0	0	0.004	0.082	0.002
t191	0.011	0.005	0.014	0.057	0.006	0.001	0.043	0.14	0.001	0.098	0.002	0.002	0.027	0.037	0.004	0.059	0.006	0.022	0.004	0.008	0.002	0.015	0.002	0.14	0.093	0.004	0.104	0.07	0.006	0.017
t16	0.012	0.006	0.03	0.029	0.005	0.004	0.023	0.213	0.004	0.086	0.003	0.006	0.075	0.033	0.02	0.068	0.008	0.023	0.012	0.004	0.006	0.025	0.004	0.07	0.101	0.004	0.042	0.046	0.017	0.02
t136	0.011	0.005	0.021	0.045	0.008	0.002	0.03	0.168	0.003	0.095	0.002	0.004	0.033	0.031	0.01	0.055	0.008	0.019	0.007	0.007	0.003	0.028	0.004	0.121	0.098	0.004	0.08	0.07	0.013	0.016
t127	0.004	0.002	0.058	0.004	0.005	0.016	0.002	0.116	0.009	0.019	0.004	0.012	0.052	0.006	0.334	0.017	0.005	0.008	0.041	0.001	0.031	0.077	0.004	0.003	0.037	0.001	0.003	0.011	0.114	0.005
t64	0.008	0.006	0.052	0.012	0.005	0.007	0.007	0.175	0.005	0.049	0.005	0.009	0.062	0.016	0.221	0.038	0.008	0.034	0.013	0.003	0.013	0.048	0.002	0.008	0.069	0.003	0.018	0.032	0.062	0.011
t20	0.01	0.008	0.015	0.019	0.001	0.001	0.036	0.204	0.002	0.089	0.001	0.004	0.129	0.036	0.007	0.086	0.006	0.027	0.003	0.003	0.002	0.005	0.001	0.093	0.085	0.005	0.055	0.031	0.004	0.031
t49	0.012	0.009	0.033	0.028	0.006	0.002	0.021	0.182	0.002	0.087	0.004	0.005	0.044	0.027	0.074	0.054	0.009	0.059	0.004	0.006	0.004	0.027	0.001	0.021	0.091	0.004	0.073	0.068	0.026	0.016
t188	0.008	0.004	0.056	0.015	0.01	0.015	0.006	0.19	0.011	0.046	0.005	0.013	0.064	0.016	0.072	0.037	0.007	0.009	0.057	0.002	0.024	0.092	0.014	0.031	0.077	0.002	0.01	0.027	0.07	0.01
t101	0.012	0.007	0.027	0.04	0.007	0.003	0.027	0.184	0.003	0.095	0.003	0.005	0.043	0.033	0.021	0.061	0.008	0.03	0.007	0.006	0.004	0.028	0.002	0.066	0.101	0.004	0.071	0.067	0.017	0.017
t139	0.012	0.007	0.021	0.05	0.007	0.002	0.033	0.16	0.002	0.1	0.003	0.003	0.03	0.035	0.015	0.058	0.008	0.036	0.004	0.008	0.003	0.025	0.002	0.066	0.099	0.004	0.098	0.08	0.013	0.016
t156	0.01	0.006	0.008	0.05	0.003	0	0.06	0.119	0.001	0.102	0.001	0.001	0.027	0.04	0.002	0.063	0.005	0.031	0.001	0.007	0.001	0.005	0.001	0.129	0.08	0.004	0.156	0.065	0.002	0.019
t32	0.007	0.003	0.006	0.045	0.003	0.001	0.045	0.092	0.001	0.076	0.001	0.001	0.018	0.027	0.001	0.045	0.004	0.007	0.002	0.005	0.001	0.006	0.002	0.377	0.064	0.003	0.094	0.047	0.002	0.013
