V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	V15	V16	V17	V18	V19	V20	V21	V22	V23	V24	V25	V26	V27	V28	V29	V30
t60	0.033	0.041	0.006	0.023	0.017	0.01	0.01	0.013	0.01	0.014	0.018	0.006	0.025	0.012	0.019	0.042	0.031	0.015	0.055	0.028	0.044	0.064	0.061	0.065	0.059	0.02	0.003	0.035	0.039	0.182
t15	0.027	0.108	0.009	0.021	0.01	0.006	0.014	0.01	0.008	0.029	0.015	0.004	0.008	0.015	0.011	0.029	0.075	0.029	0.035	0.035	0.02	0.114	0.083	0.028	0.053	0.03	0.01	0.032	0.035	0.096
t102	0.033	0.023	0.004	0.022	0.022	0.01	0.007	0.013	0.015	0.008	0.018	0.005	0.033	0.01	0.023	0.047	0.018	0.012	0.072	0.023	0.048	0.043	0.047	0.088	0.057	0.013	0.002	0.032	0.04	0.214
t101	0.029	0.009	0.002	0.017	0.025	0.008	0.004	0.011	0.012	0.004	0.016	0.006	0.071	0.006	0.024	0.046	0.007	0.006	0.062	0.015	0.073	0.022	0.029	0.118	0.046	0.008	0.001	0.026	0.031	0.268
t109	0.027	0.006	0.002	0.015	0.024	0.008	0.004	0.011	0.012	0.003	0.015	0.006	0.088	0.005	0.023	0.044	0.005	0.004	0.06	0.012	0.082	0.017	0.024	0.126	0.042	0.007	0	0.023	0.028	0.277
t198	0.031	0.065	0.009	0.022	0.013	0.012	0.012	0.012	0.008	0.02	0.018	0.006	0.016	0.013	0.015	0.035	0.047	0.019	0.049	0.032	0.038	0.085	0.074	0.046	0.058	0.026	0.005	0.035	0.038	0.14
t149	0.033	0.035	0.005	0.023	0.019	0.008	0.009	0.013	0.011	0.012	0.018	0.006	0.029	0.011	0.02	0.045	0.027	0.015	0.055	0.026	0.045	0.058	0.056	0.071	0.059	0.018	0.003	0.034	0.039	0.197
t135	0.032	0.042	0.006	0.021	0.014	0.008	0.01	0.012	0.008	0.015	0.019	0.008	0.035	0.012	0.016	0.039	0.033	0.013	0.039	0.028	0.061	0.07	0.063	0.057	0.057	0.024	0.003	0.035	0.035	0.187
t177	0.019	0.001	0.001	0.01	0.028	0.008	0.002	0.008	0.011	0.001	0.01	0.004	0.123	0.002	0.025	0.039	0.001	0.002	0.069	0.006	0.08	0.006	0.01	0.176	0.028	0.002	0	0.014	0.02	0.291
t151	0.017	0.001	0	0.009	0.03	0.005	0.001	0.007	0.012	0	0.009	0.003	0.149	0.002	0.025	0.038	0.001	0.001	0.061	0.005	0.073	0.004	0.007	0.19	0.024	0.002	0	0.012	0.017	0.295
t186	0.028	0.007	0.002	0.019	0.031	0.007	0.004	0.012	0.019	0.003	0.014	0.004	0.055	0.006	0.029	0.053	0.006	0.007	0.082	0.014	0.047	0.019	0.025	0.135	0.046	0.006	0	0.024	0.034	0.264
t142	0.007	0.32	0.011	0.008	0.001	0.001	0.01	0.003	0.002	0.056	0.004	0.001	0	0.01	0.002	0.006	0.175	0.04	0.006	0.022	0.001	0.14	0.061	0.002	0.017	0.027	0.034	0.011	0.011	0.011
