V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	V15	V16	V17	V18	V19	V20	V21	V22	V23	V24	V25	V26	V27	V28	V29	V30
t141	0.004	0.016	0.009	0.065	0.063	0.032	0.008	0.012	0.024	0.015	0.069	0.073	0.003	0.343	0.013	0.006	0.02	0.002	0.003	0.005	0.001	0.002	0.019	0.04	0.019	0.109	0.004	0.007	0.007	0.009
t27	0.004	0.018	0.003	0.027	0.025	0.011	0.039	0.007	0.017	0.012	0.04	0.028	0.042	0.279	0.005	0.043	0.068	0.007	0.006	0.022	0.007	0.005	0.005	0.05	0.045	0.088	0.004	0.035	0.02	0.04
t46	0.004	0.016	0.009	0.061	0.059	0.029	0.01	0.012	0.024	0.015	0.067	0.067	0.004	0.345	0.012	0.008	0.023	0.002	0.004	0.006	0.001	0.002	0.018	0.042	0.022	0.109	0.004	0.008	0.008	0.011
t121	0.004	0.017	0.008	0.056	0.054	0.026	0.012	0.011	0.023	0.015	0.065	0.062	0.005	0.345	0.011	0.01	0.027	0.002	0.004	0.007	0.002	0.003	0.016	0.044	0.024	0.109	0.004	0.01	0.009	0.014
t82	0.003	0.011	0.015	0.089	0.088	0.049	0.002	0.014	0.023	0.013	0.076	0.104	0	0.304	0.017	0.001	0.007	0	0.002	0.002	0	0.001	0.035	0.027	0.009	0.097	0.003	0.002	0.003	0.003
t169	0.004	0.017	0.002	0.022	0.02	0.008	0.046	0.006	0.015	0.011	0.035	0.023	0.056	0.254	0.004	0.054	0.077	0.009	0.007	0.026	0.009	0.005	0.004	0.048	0.047	0.079	0.004	0.039	0.021	0.047
t51	0.004	0.017	0.007	0.054	0.052	0.025	0.013	0.011	0.023	0.015	0.063	0.058	0.006	0.345	0.01	0.011	0.03	0.003	0.004	0.008	0.002	0.003	0.015	0.045	0.026	0.109	0.004	0.011	0.01	0.015
t140	0.004	0.016	0.009	0.062	0.059	0.029	0.01	0.012	0.023	0.015	0.067	0.067	0.004	0.346	0.011	0.008	0.023	0.002	0.004	0.006	0.001	0.002	0.019	0.041	0.021	0.109	0.004	0.007	0.008	0.011
t179	0.002	0.013	0.001	0.01	0.01	0.004	0.065	0.003	0.009	0.007	0.02	0.011	0.133	0.164	0.002	0.092	0.095	0.012	0.006	0.036	0.015	0.005	0.002	0.038	0.048	0.051	0.003	0.057	0.024	0.063
t108	0.003	0.009	0.018	0.098	0.098	0.057	0.001	0.014	0.022	0.012	0.076	0.116	0	0.279	0.02	0.001	0.004	0	0.001	0.001	0	0.001	0.043	0.022	0.006	0.09	0.003	0.001	0.002	0.002
t176	0.004	0.018	0.004	0.031	0.029	0.013	0.033	0.008	0.018	0.013	0.045	0.032	0.032	0.298	0.006	0.035	0.061	0.006	0.006	0.019	0.006	0.005	0.007	0.05	0.042	0.093	0.004	0.029	0.018	0.034
t32	0.003	0.01	0.018	0.096	0.095	0.055	0.002	0.014	0.022	0.012	0.076	0.113	0	0.285	0.02	0.001	0.005	0	0.001	0.001	0	0.001	0.04	0.023	0.007	0.092	0.003	0.001	0.002	0.002
t19	0.004	0.016	0.008	0.061	0.059	0.029	0.01	0.012	0.024	0.015	0.068	0.069	0.003	0.345	0.011	0.007	0.022	0.002	0.004	0.006	0.001	0.002	0.018	0.041	0.021	0.109	0.004	0.007	0.008	0.011
t66	0.003	0.008	0.021	0.103	0.103	0.062	0.001	0.014	0.021	0.011	0.075	0.122	0	0.265	0.023	0	0.003	0	0.001	0.001	0	0.001	0.046	0.02	0.005	0.085	0.002	0.001	0.002	0.001
t104	0.003	0.012	0.013	0.082	0.081	0.044	0.003	0.014	0.024	0.014	0.074	0.095	0.001	0.318	0.016	0.002	0.009	0.001	0.002	0.002	0	0.001	0.03	0.03	0.011	0.102	0.003	0.003	0.004	0.004
t134	0.004	0.017	0.007	0.05	0.048	0.023	0.016	0.011	0.023	0.015	0.061	0.055	0.008	0.341	0.01	0.014	0.033	0.003	0.005	0.009	0.002	0.003	0.013	0.046	0.028	0.108	0.004	0.013	0.011	0.017
t22	0.004	0.014	0.011	0.073	0.071	0.037	0.005	0.013	0.024	0.014	0.072	0.083	0.001	0.334	0.014	0.004	0.014	0.001	0.003	0.003	0.001	0.002	0.024	0.035	0.015	0.106	0.004	0.004	0.005	0.006
t78	0.003	0.011	0.015	0.088	0.088	0.049	0.002	0.014	0.023	0.013	0.075	0.105	0	0.303	0.018	0.001	0.007	0	0.002	0.002	0	0.001	0.034	0.027	0.009	0.097	0.003	0.002	0.003	0.003
t153	0.004	0.017	0.007	0.052	0.05	0.024	0.015	0.011	0.023	0.015	0.062	0.056	0.007	0.344	0.01	0.013	0.032	0.003	0.004	0.009	0.002	0.003	0.014	0.046	0.027	0.108	0.004	0.012	0.011	0.016
t122	0.004	0.015	0.01	0.066	0.064	0.032	0.008	0.013	0.024	0.015	0.069	0.074	0.003	0.342	0.013	0.006	0.019	0.001	0.003	0.005	0.001	0.002	0.021	0.039	0.019	0.108	0.004	0.006	0.007	0.009
t48	0.004	0.017	0.007	0.052	0.049	0.023	0.015	0.011	0.023	0.015	0.061	0.055	0.008	0.343	0.009	0.013	0.033	0.003	0.004	0.009	0.002	0.003	0.014	0.046	0.028	0.108	0.004	0.012	0.011	0.017
t90	0.004	0.015	0.011	0.07	0.068	0.035	0.006	0.013	0.024	0.015	0.071	0.078	0.002	0.338	0.014	0.005	0.016	0.001	0.003	0.004	0.001	0.002	0.022	0.037	0.017	0.107	0.004	0.005	0.006	0.007
t92	0.004	0.017	0.007	0.054	0.051	0.025	0.014	0.011	0.023	0.015	0.063	0.059	0.006	0.344	0.01	0.011	0.03	0.003	0.004	0.008	0.002	0.003	0.015	0.045	0.026	0.109	0.004	0.011	0.01	0.015
t119	0.003	0.01	0.018	0.095	0.095	0.055	0.002	0.014	0.022	0.012	0.075	0.113	0	0.286	0.02	0.001	0.005	0	0.001	0.001	0	0.001	0.04	0.023	0.007	0.092	0.003	0.001	0.002	0.002
t75	0.003	0.011	0.017	0.091	0.09	0.051	0.002	0.014	0.023	0.013	0.075	0.105	0	0.299	0.02	0.001	0.006	0	0.002	0.001	0	0.001	0.035	0.026	0.008	0.096	0.003	0.002	0.003	0.003
t3	0.004	0.016	0.009	0.064	0.061	0.031	0.009	0.012	0.024	0.015	0.068	0.069	0.003	0.344	0.012	0.007	0.021	0.002	0.003	0.005	0.001	0.002	0.019	0.04	0.02	0.109	0.004	0.007	0.008	0.01
t83	0.004	0.018	0.005	0.042	0.039	0.018	0.022	0.009	0.021	0.014	0.054	0.044	0.015	0.33	0.008	0.021	0.045	0.004	0.005	0.013	0.004	0.004	0.01	0.049	0.034	0.104	0.004	0.019	0.014	0.024
t71	0.003	0.014	0.001	0.013	0.012	0.005	0.06	0.004	0.011	0.008	0.024	0.013	0.109	0.191	0.002	0.081	0.091	0.011	0.007	0.033	0.013	0.006	0.002	0.041	0.049	0.059	0.003	0.05	0.024	0.059
t174	0.004	0.018	0.005	0.044	0.042	0.019	0.02	0.01	0.022	0.015	0.056	0.048	0.012	0.334	0.008	0.019	0.041	0.004	0.005	0.012	0.003	0.004	0.011	0.048	0.033	0.105	0.004	0.017	0.013	0.022
t137	0.004	0.016	0.009	0.063	0.061	0.031	0.009	0.012	0.024	0.015	0.068	0.071	0.003	0.344	0.012	0.007	0.021	0.002	0.003	0.005	0.001	0.002	0.019	0.04	0.02	0.109	0.004	0.007	0.008	0.01
t9	0.003	0.011	0.016	0.09	0.089	0.05	0.002	0.014	0.023	0.013	0.075	0.105	0	0.301	0.019	0.001	0.007	0	0.002	0.001	0	0.001	0.035	0.026	0.009	0.096	0.003	0.002	0.003	0.003
t87	0.003	0.01	0.017	0.093	0.092	0.053	0.002	0.014	0.023	0.013	0.075	0.11	0	0.292	0.02	0.001	0.006	0	0.001	0.001	0	0.001	0.037	0.024	0.008	0.094	0.003	0.001	0.002	0.002
t4	0.004	0.018	0.004	0.036	0.034	0.015	0.028	0.008	0.02	0.014	0.05	0.039	0.021	0.316	0.007	0.028	0.053	0.005	0.006	0.016	0.005	0.004	0.008	0.05	0.038	0.099	0.004	0.024	0.016	0.029
t84	0.003	0.011	0.016	0.088	0.087	0.049	0.002	0.014	0.023	0.013	0.075	0.102	0	0.305	0.018	0.001	0.007	0	0.002	0.002	0	0.001	0.034	0.027	0.009	0.098	0.003	0.002	0.003	0.003
t168	0.003	0.014	0.001	0.014	0.012	0.005	0.059	0.004	0.011	0.009	0.024	0.014	0.105	0.193	0.002	0.079	0.091	0.011	0.007	0.033	0.013	0.006	0.002	0.042	0.049	0.06	0.003	0.054	0.023	0.058
t96	0.003	0.012	0.014	0.083	0.081	0.044	0.003	0.014	0.023	0.014	0.074	0.095	0.001	0.317	0.017	0.002	0.009	0.001	0.002	0.002	0	0.001	0.03	0.03	0.011	0.101	0.003	0.003	0.004	0.004
t120	0.004	0.017	0.007	0.051	0.049	0.023	0.015	0.011	0.023	0.015	0.061	0.055	0.008	0.343	0.009	0.013	0.033	0.003	0.005	0.009	0.002	0.003	0.014	0.046	0.028	0.108	0.004	0.012	0.011	0.017
t81	0.004	0.016	0.009	0.064	0.062	0.031	0.009	0.012	0.024	0.015	0.068	0.07	0.003	0.343	0.013	0.006	0.02	0.002	0.003	0.005	0.001	0.002	0.019	0.04	0.02	0.109	0.004	0.007	0.007	0.01
t43	0.003	0.01	0.017	0.093	0.092	0.053	0.002	0.014	0.023	0.013	0.075	0.109	0	0.293	0.02	0.001	0.006	0	0.001	0.001	0	0.001	0.037	0.025	0.008	0.094	0.003	0.002	0.002	0.002
t123	0.004	0.017	0.007	0.051	0.049	0.023	0.015	0.011	0.023	0.015	0.061	0.056	0.008	0.342	0.01	0.013	0.033	0.003	0.005	0.009	0.002	0.003	0.013	0.046	0.028	0.108	0.004	0.013	0.011	0.017
t117	0.004	0.018	0.003	0.028	0.026	0.011	0.037	0.007	0.017	0.013	0.042	0.029	0.038	0.285	0.005	0.041	0.067	0.007	0.006	0.022	0.007	0.005	0.006	0.05	0.044	0.089	0.004	0.032	0.019	0.039
t127	0.004	0.018	0.004	0.032	0.03	0.013	0.033	0.008	0.018	0.013	0.046	0.033	0.03	0.301	0.005	0.035	0.06	0.006	0.006	0.019	0.006	0.005	0.007	0.05	0.041	0.094	0.004	0.026	0.018	0.034
t67	0.003	0.012	0.014	0.085	0.083	0.045	0.003	0.014	0.023	0.014	0.074	0.096	0.001	0.315	0.017	0.002	0.009	0.001	0.002	0.002	0	0.001	0.032	0.029	0.01	0.1	0.003	0.002	0.004	0.004
t139	0.004	0.016	0.009	0.063	0.061	0.03	0.009	0.012	0.024	0.015	0.068	0.069	0.003	0.344	0.012	0.007	0.021	0.002	0.003	0.006	0.001	0.002	0.019	0.041	0.02	0.109	0.004	0.007	0.008	0.01
t40	0.004	0.018	0.006	0.046	0.044	0.02	0.019	0.01	0.022	0.015	0.057	0.049	0.011	0.337	0.009	0.017	0.039	0.004	0.005	0.011	0.003	0.004	0.012	0.048	0.031	0.106	0.004	0.016	0.013	0.02
t197	0.004	0.013	0.012	0.076	0.075	0.04	0.005	0.013	0.024	0.014	0.073	0.088	0.001	0.328	0.016	0.003	0.012	0.001	0.002	0.003	0.001	0.001	0.026	0.033	0.014	0.105	0.004	0.004	0.005	0.005
t74	0.003	0.01	0.017	0.094	0.093	0.053	0.002	0.014	0.022	0.013	0.075	0.108	0	0.292	0.02	0.001	0.006	0	0.001	0.001	0	0.001	0.038	0.024	0.007	0.094	0.003	0.001	0.002	0.002
t145	0.004	0.014	0.011	0.071	0.069	0.036	0.006	0.013	0.024	0.015	0.071	0.081	0.002	0.336	0.015	0.004	0.015	0.001	0.003	0.004	0.001	0.002	0.023	0.036	0.016	0.107	0.004	0.005	0.006	0.007
t182	0.004	0.018	0.005	0.04	0.038	0.017	0.024	0.009	0.021	0.014	0.053	0.044	0.016	0.326	0.008	0.023	0.047	0.004	0.005	0.014	0.004	0.004	0.009	0.049	0.035	0.103	0.004	0.02	0.015	0.025
t129	0.004	0.018	0.005	0.043	0.041	0.019	0.021	0.01	0.022	0.015	0.056	0.047	0.013	0.332	0.008	0.02	0.043	0.004	0.005	0.012	0.003	0.004	0.01	0.049	0.034	0.105	0.004	0.018	0.014	0.023
t133	0.003	0.01	0.018	0.095	0.095	0.055	0.002	0.014	0.022	0.012	0.075	0.112	0	0.287	0.02	0.001	0.005	0	0.001	0.001	0	0.001	0.04	0.023	0.007	0.092	0.003	0.001	0.002	0.002
t14	0.004	0.017	0.002	0.023	0.022	0.009	0.044	0.006	0.016	0.012	0.037	0.024	0.052	0.262	0.004	0.051	0.074	0.008	0.007	0.025	0.008	0.005	0.005	0.049	0.046	0.082	0.004	0.037	0.021	0.045
t196	0.004	0.018	0.006	0.045	0.043	0.02	0.019	0.01	0.022	0.015	0.058	0.049	0.011	0.337	0.008	0.018	0.04	0.004	0.005	0.012	0.003	0.004	0.012	0.048	0.032	0.106	0.004	0.016	0.013	0.021
t143	0.004	0.018	0.006	0.047	0.045	0.021	0.018	0.01	0.022	0.015	0.059	0.052	0.01	0.338	0.009	0.016	0.037	0.003	0.005	0.011	0.003	0.003	0.012	0.047	0.03	0.107	0.004	0.015	0.012	0.019
t199	0.004	0.013	0.012	0.077	0.075	0.04	0.005	0.013	0.024	0.014	0.073	0.087	0.001	0.329	0.015	0.003	0.012	0.001	0.002	0.003	0.001	0.001	0.027	0.033	0.013	0.104	0.004	0.003	0.005	0.005
t49	0.004	0.017	0.007	0.053	0.051	0.024	0.014	0.011	0.023	0.015	0.063	0.058	0.007	0.345	0.01	0.012	0.031	0.003	0.004	0.009	0.002	0.003	0.014	0.045	0.027	0.108	0.004	0.011	0.01	0.016
t151	0.004	0.015	0.011	0.07	0.068	0.035	0.006	0.013	0.024	0.015	0.07	0.078	0.002	0.338	0.015	0.005	0.016	0.001	0.003	0.004	0.001	0.002	0.022	0.037	0.017	0.107	0.004	0.005	0.006	0.007
t163	0.004	0.013	0.012	0.076	0.075	0.04	0.005	0.013	0.024	0.014	0.073	0.088	0.001	0.328	0.016	0.003	0.012	0.001	0.002	0.003	0.001	0.001	0.026	0.034	0.014	0.105	0.004	0.004	0.005	0.005
