feature_1	feature_2	feature_3	feature_4	feature_5	feature_6	feature_7	feature_8	feature_9	feature_10	feature_11	feature_12	feature_13	feature_14	feature_15	feature_16	feature_17	feature_18	feature_19	feature_20	feature_21	feature_22	feature_23	feature_24	feature_25	feature_26	feature_27	feature_28	feature_29	feature_30
t141	-1.21	0.163	-0.355	1.577	1.544	0.856	-0.448	-0.075	0.585	0.118	1.643	1.687	-1.516	3.254	-0.053	-0.733	0.421	-2.11	-1.368	-0.927	-2.494	-1.8	0.376	1.106	0.399	2.105	-1.208	-0.657	-0.591	-0.315
t27	-1.347	0.086	-0.908	1.12	1.071	0.321	0.012	-0.425	0.333	-0.08	1.314	1.198	-0.613	3.051	-0.526	-0.122	0.765	-1.652	-1.241	-0.495	-1.892	-1.591	-0.231	1.064	0.587	1.898	-1.329	-0.158	-0.337	0.105
t46	-1.245	0.143	-0.481	1.469	1.43	0.725	-0.34	-0.157	0.523	0.07	1.562	1.564	-1.289	3.204	-0.17	-0.587	0.503	-2.001	-1.339	-0.823	-2.348	-1.741	0.234	1.095	0.443	2.054	-1.24	-0.539	-0.531	-0.216
t121	-1.252	0.139	-0.522	1.439	1.401	0.693	-0.309	-0.179	0.508	0.058	1.544	1.538	-1.24	3.192	-0.204	-0.547	0.525	-1.972	-1.329	-0.796	-2.31	-1.736	0.197	1.093	0.456	2.042	-1.245	-0.51	-0.514	-0.187
t82	-1.139	0.203	-0.059	1.821	1.795	1.138	-0.693	0.115	0.718	0.223	1.817	1.943	-1.988	3.361	0.186	-1.056	0.238	-2.353	-1.436	-1.155	-2.811	-1.906	0.705	1.127	0.298	2.214	-1.145	-0.928	-0.726	-0.537
t169	-1.353	0.084	-0.957	1.093	1.047	0.292	0.044	-0.44	0.32	-0.089	1.301	1.175	-0.569	3.043	-0.584	-0.081	0.789	-1.624	-1.23	-0.467	-1.856	-1.591	-0.254	1.065	0.601	1.888	-1.333	-0.156	-0.318	0.138
t51	-1.269	0.131	-0.583	1.39	1.349	0.633	-0.259	-0.216	0.48	0.037	1.507	1.481	-1.134	3.171	-0.259	-0.479	0.564	-1.92	-1.315	-0.747	-2.243	-1.706	0.13	1.089	0.476	2.019	-1.26	-0.46	-0.485	-0.141
t140	-1.241	0.147	-0.473	1.486	1.447	0.742	-0.353	-0.14	0.531	0.078	1.576	1.579	-1.314	3.214	-0.18	-0.601	0.495	-2.013	-1.341	-0.834	-2.364	-1.747	0.264	1.098	0.438	2.061	-1.236	-0.577	-0.536	-0.224
t179	-1.425	0.044	-1.255	0.852	0.797	0.01	0.288	-0.627	0.188	-0.193	1.129	0.919	-0.096	2.937	-0.832	0.242	0.971	-1.381	-1.162	-0.238	-1.54	-1.483	-0.578	1.043	0.702	1.779	-1.396	0.105	-0.183	0.36
t108	-1.114	0.216	0.044	1.901	1.878	1.233	-0.776	0.175	0.762	0.257	1.874	2.029	-2.149	3.396	0.278	-1.167	0.176	-2.436	-1.459	-1.234	-2.918	-1.944	0.811	1.134	0.264	2.25	-1.123	-1.008	-0.773	-0.613
t176	-1.314	0.105	-0.764	1.239	1.193	0.457	-0.108	-0.334	0.397	-0.029	1.398	1.32	-0.839	3.103	-0.405	-0.279	0.677	-1.77	-1.274	-0.606	-2.047	-1.638	-0.075	1.075	0.538	1.95	-1.3	-0.29	-0.402	-0.005
t32	-1.181	0.179	-0.23	1.677	1.646	0.971	-0.549	0.004	0.639	0.161	1.713	1.79	-1.704	3.297	0.042	-0.865	0.346	-2.21	-1.396	-1.02	-2.621	-1.841	0.515	1.115	0.357	2.149	-1.183	-0.767	-0.647	-0.405
t19	-1.246	0.143	-0.521	1.449	1.414	0.708	-0.316	-0.169	0.516	0.065	1.556	1.555	-1.272	3.2	-0.208	-0.559	0.519	-1.982	-1.33	-0.804	-2.325	-1.752	0.217	1.096	0.453	2.049	-1.239	-0.536	-0.518	-0.191
t66	-1.162	0.19	-0.133	1.75	1.719	1.053	-0.625	0.056	0.677	0.19	1.761	1.862	-1.84	3.327	0.136	-0.964	0.29	-2.282	-1.418	-1.09	-2.717	-1.864	0.6	1.119	0.326	2.18	-1.166	-0.831	-0.689	-0.478
