feature_1	feature_2	feature_3	feature_4	feature_5	feature_6	feature_7	feature_8	feature_9	feature_10	feature_11	feature_12	feature_13	feature_14	feature_15	feature_16	feature_17	feature_18	feature_19	feature_20	feature_21	feature_22	feature_23	feature_24	feature_25	feature_26	feature_27	feature_28	feature_29	feature_30
t12	0.01	0.016	0.046	0.007	0.008	0.01	0.009	0.011	0.006	0.017	0.008	0.007	0.007	0.6	0.01	0.033	0.001	0.005	0.008	0.01	0.094	0.01	0.024	0.007	0.002	0.008	0.001	0.007	0.004	0.013
t18	0.031	0.084	0.08	0.042	0.03	0.032	0.021	0.017	0.003	0.021	0.077	0.012	0.02	0.002	0.037	0.021	0.031	0.018	0.054	0.042	0.014	0.055	0.034	0.018	0.044	0.036	0.04	0.03	0.031	0.025
t38	0.017	0.043	0.079	0.032	0.107	0.011	0.096	0.014	0.02	0.029	0.013	0.026	0.044	0.016	0.023	0.027	0.005	0.01	0.005	0.03	0.129	0.081	0.023	0.03	0.026	0.03	0.003	0.011	0.013	0.006
t20	0.012	0.076	0.081	0.009	0.017	0.012	0.007	0.012	0.093	0.037	0.023	0.007	0.018	0.013	0.017	0.132	0.003	0.023	0.066	0.013	0.102	0.013	0.027	0.014	0.024	0.017	0.066	0.012	0.022	0.032
t46	0.017	0.137	0.217	0.096	0.006	0.004	0.012	0.009	0.005	0.03	0.016	0.008	0.025	0.003	0.025	0.007	0.049	0.004	0.035	0.034	0.037	0.03	0.049	0.026	0.017	0.025	0.005	0.014	0.042	0.017
t21	0.005	0.024	0.055	0.005	0.012	0.005	0.005	0.017	0.005	0.015	0.011	0.007	0.02	0.482	0.01	0.038	0.002	0.003	0.084	0.015	0.005	0.078	0.007	0.008	0.005	0.009	0.015	0.033	0.007	0.014
t43	0.011	0.037	0.007	0.031	0.042	0.02	0.004	0.014	0.017	0.008	0.02	0.004	0.014	0.006	0.017	0.391	0.099	0.013	0.01	0.025	0.04	0.016	0.02	0.02	0.015	0.023	0.007	0.021	0.013	0.038
t27	0.015	0.046	0.022	0.012	0.011	0.028	0.022	0.015	0.038	0.033	0.035	0.012	0.101	0.233	0.028	0.01	0.004	0.013	0.056	0.024	0.005	0.045	0.024	0.016	0.011	0.02	0.011	0.025	0.03	0.057
t23	0.009	0.067	0.039	0.036	0.035	0.012	0.025	0.009	0.001	0.015	0.026	0.017	0.041	0.004	0.021	0.124	0.067	0.016	0.012	0.011	0.036	0.01	0.024	0.019	0.025	0.019	0.196	0.046	0.032	0.005
t8	0.036	0.116	0.013	0.049	0.016	0.028	0.032	0.039	0.058	0.023	0.016	0.014	0.012	0.07	0.026	0.023	0.082	0.004	0.018	0.011	0.011	0.021	0.019	0.026	0.021	0.023	0.004	0.005	0.014	0.171
t31	0.017	0.017	0.185	0.012	0.002	0.014	0.004	0.037	0.05	0.025	0.014	0.021	0.018	0.072	0.016	0.006	0.015	0.043	0.051	0.017	0.137	0.11	0.029	0.007	0.018	0.019	0.016	0.003	0.005	0.02
t22	0.021	0.047	0.024	0.005	0.009	0.018	0.047	0.103	0.011	0.033	0.057	0.036	0.024	0.004	0.036	0.044	0.024	0.096	0.081	0.015	0.046	0.049	0.04	0.012	0.027	0.037	0.001	0.028	0.021	0.005
t24	0.017	0.02	0.017	0.048	0.017	0.046	0.018	0.044	0.014	0.017	0.041	0.031	0.024	0.035	0.024	0.007	0.019	0.011	0.003	0.044	0.033	0.012	0.036	0.028	0.143	0.021	0.006	0.047	0.062	0.113
t48	0.06	0.072	0.024	0.058	0.014	0.016	0.021	0.025	0.044	0.046	0.03	0.016	0.034	0.023	0.044	0.006	0.097	0.011	0.007	0.014	0.038	0.018	0.034	0.025	0.092	0.033	0.01	0.01	0.04	0.036
t40	0.021	0.025	0.006	0.058	0.073	0.02	0.002	0.046	0.02	0.015	0.033	0.009	0.025	0.019	0.022	0.007	0.238	0.005	0.004	0.057	0.023	0.073	0.021	0.009	0.018	0.019	0.021	0.078	0.022	0.009
t17	0.031	0.051	0.029	0.035	0.018	0.038	0.004	0.068	0.016	0.049	0.015	0.01	0.007	0.008	0.029	0.031	0.024	0.011	0.063	0.071	0.124	0.048	0.037	0.025	0.008	0.03	0.096	0.011	0.007	0.006
t42	0.034	0.156	0.015	0.037	0.028	0.028	0.101	0.113	0.013	0.023	0.004	0.03	0.022	0.017	0.028	0.028	0.039	0.007	0.023	0.02	0.023	0.02	0.008	0.02	0.018	0.029	0.009	0.032	0.049	0.027
t1	0.022	0.086	0.025	0.052	0.059	0.043	0.012	0.09	0.026	0.021	0.013	0.018	0.058	0.002	0.024	0.051	0.031	0.013	0.022	0.009	0.023	0.02	0.009	0.013	0.075	0.018	0.008	0.062	0.086	0.008
t14	0.01	0.022	0.01	0.004	0.03	0.005	0.114	0.021	0.066	0.022	0.01	0.036	0.016	0.015	0.016	0.041	0.002	0.005	0.114	0.01	0.035	0.015	0.024	0.01	0.062	0.012	0.001	0.216	0.02	0.037
t16	0.019	0.035	0.008	0.036	0.002	0.006	0	0.013	0.008	0.012	0.015	0.004	0.021	0.105	0.023	0.006	0.082	0.002	0.004	0.026	0.025	0.019	0.012	0.016	0.018	0.022	0.2	0.019	0.16	0.083
t28	0.009	0.088	0.028	0.089	0.002	0.026	0.005	0.005	0.014	0.036	0.012	0.043	0.009	0.086	0.026	0.041	0.045	0.005	0.018	0.03	0.087	0.08	0.019	0.017	0.014	0.031	0.042	0.023	0.04	0.03
t4	0.015	0.048	0.102	0.02	0.006	0.017	0.013	0.007	0.004	0.014	0.026	0.012	0.007	0.024	0.024	0.003	0.156	0.011	0.005	0.05	0.122	0.106	0.038	0.025	0.03	0.026	0.052	0.006	0.02	0.011
t7	0.007	0.085	0.01	0.025	0.015	0.023	0.011	0.012	0.018	0.029	0.008	0.02	0.005	0.039	0.027	0.032	0.033	0.01	0.044	0.038	0.043	0.037	0.019	0.022	0.105	0.021	0.013	0.019	0.051	0.18
t25	0.011	0.014	0.144	0.012	0.003	0.012	0.006	0.023	0.062	0.009	0.024	0.02	0.072	0.324	0.01	0.003	0	0.013	0.055	0.01	0.014	0.009	0.02	0.009	0.061	0.011	0.004	0.03	0.011	0.004
