V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	V15	V16	V17	V18	V19	V20	V21	V22	V23	V24	V25	V26	V27	V28	V29	V30
t84	0.064	0.04	0.03	0.028	0.166	0.002	0.003	0.002	0.108	0.003	0.043	0.023	0.039	0.003	0.021	0.005	0.14	0.009	0.009	0	0.006	0.02	0	0.066	0.005	0.033	0.007	0.008	0.006	0.109
t139	0.039	0.065	0.051	0.013	0.049	0.004	0.013	0.013	0.011	0.019	0.078	0.023	0.039	0.004	0.019	0.086	0.06	0.021	0.055	0.004	0.035	0.04	0.049	0.053	0.035	0.015	0.03	0.004	0.049	0.027
t192	0.02	0.184	0.003	0.134	0.007	0	0	0	0.001	0	0.111	0.011	0.023	0.001	0.009	0.008	0.302	0.001	0	0	0.002	0.018	0	0.125	0.002	0.005	0	0.009	0.001	0.022
t88	0.024	0.07	0.037	0.011	0.003	0.003	0.02	0.008	0.011	0.024	0.036	0.023	0.032	0.002	0.009	0.031	0.014	0.013	0.06	0.008	0.043	0.281	0.001	0.053	0.06	0.034	0.017	0.003	0.054	0.016
t121	0.046	0.058	0.043	0.026	0.01	0.003	0.008	0.006	0.02	0.022	0.044	0.023	0.04	0.003	0.011	0.012	0.02	0.014	0.011	0.019	0.033	0.302	0.006	0.072	0.014	0.047	0.013	0.003	0.032	0.042
t110	0.118	0.04	0.02	0.015	0.087	0.002	0.001	0.001	0.001	0.004	0.111	0.145	0.041	0.003	0.012	0.026	0.196	0.007	0.003	0	0.003	0.037	0.002	0.011	0.029	0.01	0.006	0.004	0.004	0.061
t113	0.073	0.086	0.019	0.037	0.007	0.002	0.001	0.001	0.003	0.004	0.1	0.069	0.051	0.002	0.012	0.02	0.085	0.006	0.003	0	0.011	0.207	0	0.05	0.058	0.024	0.004	0.005	0.008	0.052
t96	0.059	0.025	0.051	0.004	0.287	0.004	0.007	0.016	0.009	0.024	0.047	0.048	0.024	0.004	0.01	0.05	0.056	0.021	0.049	0.007	0.007	0.019	0.052	0.012	0.008	0.012	0.038	0.003	0.025	0.025
t108	0.038	0.079	0.039	0.031	0.005	0.003	0.006	0.004	0.006	0.017	0.065	0.035	0.048	0.003	0.013	0.028	0.031	0.013	0.012	0.015	0.036	0.253	0.011	0.061	0.024	0.033	0.014	0.003	0.04	0.034
t98	0.095	0.007	0.065	0.003	0.316	0.003	0.008	0.018	0.041	0.03	0.021	0.041	0.024	0.004	0.009	0.008	0.021	0.023	0.024	0.017	0.009	0.031	0.006	0.007	0.011	0.024	0.049	0.002	0.015	0.067
