V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	V15	V16	V17	V18	V19	V20	V21	V22	V23	V24	V25	V26	V27	V28	V29	V30
t187	0.004	0.025	0.035	0.032	0.05	0.024	0.025	0.018	0.054	0.119	0.008	0.038	0.039	0.02	0.03	0.009	0.014	0.032	0.005	0.048	0.003	0.02	0.035	0.034	0.016	0.102	0.075	0.064	0.014	0.008
t152	0.005	0.012	0.01	0.027	0.025	0.01	0.043	0.041	0.184	0.041	0.001	0.018	0.029	0.257	0.025	0.008	0.005	0.044	0.01	0.006	0.006	0.021	0.016	0.009	0.003	0.068	0.043	0.018	0.008	0.005
t175	0.1	0.039	0.039	0.035	0.1	0.013	0.019	0.016	0.065	0.01	0.033	0.039	0.084	0.051	0.047	0.007	0.01	0.025	0.014	0.005	0.023	0.007	0.017	0.019	0.004	0.055	0.03	0.021	0.046	0.027
t25	0.041	0.07	0.044	0.037	0.09	0.012	0.008	0.025	0.056	0.096	0.016	0.034	0.06	0.012	0.038	0.003	0.01	0.023	0.006	0.007	0.002	0.011	0.046	0.008	0.015	0.126	0.011	0.033	0.019	0.042
t137	0.03	0.051	0.066	0.031	0.101	0.02	0.015	0.009	0.023	0.057	0.054	0.046	0.046	0.007	0.035	0.006	0.018	0.019	0.005	0.033	0.003	0.009	0.035	0.044	0.018	0.088	0.032	0.049	0.026	0.024
t144	0.015	0.032	0.047	0.035	0.074	0.018	0.03	0.02	0.051	0.033	0.02	0.041	0.04	0.033	0.036	0.01	0.014	0.032	0.007	0.02	0.006	0.015	0.034	0.071	0.013	0.091	0.082	0.049	0.019	0.013
t160	0.008	0.024	0.021	0.021	0.044	0.009	0.018	0.029	0.057	0.313	0.009	0.024	0.02	0.023	0.023	0.009	0.008	0.013	0.005	0.054	0.001	0.015	0.023	0.041	0.013	0.099	0.03	0.026	0.006	0.013
t178	0.011	0.035	0.028	0.03	0.054	0.011	0.02	0.028	0.056	0.273	0.009	0.026	0.037	0.02	0.03	0.006	0.01	0.023	0.005	0.019	0.002	0.016	0.029	0.01	0.012	0.118	0.018	0.036	0.011	0.018
t88	0.001	0.014	0.018	0.01	0.023	0.008	0.005	0.006	0.01	0.582	0.002	0.014	0.01	0.001	0.009	0.002	0.006	0.007	0.001	0.057	0	0.01	0.037	0.011	0.028	0.07	0.016	0.035	0.003	0.006
t105	0.003	0.019	0.037	0.016	0.043	0.018	0.008	0.01	0.027	0.093	0.012	0.032	0.021	0.008	0.021	0.01	0.013	0.022	0.004	0.155	0.003	0.017	0.032	0.103	0.019	0.077	0.113	0.044	0.012	0.008
t123	0.007	0.029	0.017	0.033	0.035	0.01	0.014	0.045	0.131	0.199	0.002	0.02	0.031	0.066	0.028	0.003	0.007	0.041	0.007	0.004	0.001	0.022	0.035	0.005	0.008	0.137	0.014	0.028	0.008	0.014
