feature_1	feature_2	feature_3	feature_4	feature_5	feature_6	feature_7	feature_8	feature_9	feature_10	feature_11	feature_12	feature_13	feature_14	feature_15	feature_16	feature_17	feature_18	feature_19	feature_20	feature_21	feature_22	feature_23	feature_24	feature_25	feature_26	feature_27	feature_28	feature_29	feature_30
t14	0.003	0.011	0.017	0.021	0.022	0.117	0.012	0	0.027	0.006	0.035	0.002	0.02	0.057	0.018	0.016	0.015	0.016	0.016	0.033	0.022	0.026	0.015	0.019	0.026	0.009	0.012	0.012	0.373	0.023
t32	0	0.02	0.023	0.017	0.033	0.019	0.002	0.04	0.053	0.051	0.053	0.141	0.022	0.033	0.018	0.02	0.017	0.124	0.006	0.038	0.006	0.01	0.015	0.053	0.102	0.019	0.007	0.016	0.008	0.034
t2	0.036	0.028	0.014	0.013	0.015	0.583	0.016	0.002	0.024	0.011	0.015	0.018	0.007	0.012	0.013	0.011	0.016	0.003	0.027	0.036	0.004	0.011	0.021	0.005	0.015	0.015	0.008	0.007	0.002	0.009
t15	0.184	0.122	0.024	0.032	0.031	0.029	0.003	0.009	0.016	0.042	0.03	0.009	0.008	0.025	0.023	0.029	0.02	0.005	0.012	0.023	0.018	0.003	0.068	0.027	0.027	0.03	0.072	0.024	0.023	0.031
t19	0.002	0.033	0.022	0.019	0.017	0.006	0.105	0.005	0.054	0.033	0.053	0.002	0.02	0.034	0.025	0.021	0.027	0.196	0.01	0.089	0.022	0.03	0.05	0.02	0.008	0.014	0.023	0.018	0.014	0.029
t28	0.03	0.081	0.024	0.024	0.047	0.045	0.008	0.014	0.024	0.067	0.045	0.009	0.029	0.024	0.029	0.024	0.044	0.027	0.118	0.026	0.027	0.017	0.015	0.063	0.01	0.044	0.023	0.027	0.01	0.023
t49	0.002	0.112	0.025	0.032	0.024	0.019	0.028	0.106	0.027	0.036	0.021	0.011	0.025	0.028	0.032	0.029	0.02	0.056	0.014	0.019	0.006	0.029	0.064	0.009	0.095	0.029	0.011	0.021	0.021	0.048
t40	0.005	0.09	0.03	0.039	0.049	0.019	0.052	0.022	0.052	0.016	0.067	0.005	0.037	0.082	0.03	0.043	0.039	0.004	0.021	0.02	0.012	0.007	0.05	0.02	0.027	0.017	0.047	0.028	0.034	0.036
t24	0.008	0.03	0.01	0.009	0.014	0.004	0.004	0.54	0.021	0.009	0.024	0.121	0.019	0.016	0.008	0.012	0.011	0.005	0.004	0.005	0.004	0.006	0.007	0.045	0.032	0.005	0.006	0.011	0.004	0.006
t4	0.01	0.012	0.013	0.011	0.027	0.001	0.175	0.19	0.009	0.033	0.01	0.001	0.015	0.008	0.012	0.012	0.012	0.003	0.008	0.053	0.006	0.002	0.006	0.011	0.024	0.027	0.012	0.016	0.275	0.008
t30	0.001	0.061	0.019	0.013	0.013	0.001	0.008	0.007	0.012	0.02	0.036	0.02	0.013	0.023	0.017	0.015	0.029	0.011	0.007	0.031	0.031	0.022	0.005	0.013	0.122	0.015	0.003	0.02	0.4	0.014
t50	0.001	0.009	0.006	0.006	0.005	0.801	0.016	0.012	0.006	0.004	0.004	0.005	0.006	0.007	0.006	0.005	0.003	0.001	0.004	0.006	0.01	0.009	0.012	0.011	0.013	0.007	0.005	0.004	0.005	0.012
t41	0.001	0.031	0.011	0.013	0.012	0.005	0	0.015	0.015	0.009	0.01	0.003	0.01	0.016	0.013	0.011	0.015	0.015	0.011	0.007	0.1	0.017	0.056	0.427	0.088	0.014	0.016	0.011	0.032	0.017
t46	0.007	0.01	0.028	0.024	0.029	0.021	0.003	0.048	0.093	0.02	0.029	0.013	0.008	0.009	0.028	0.03	0.021	0.042	0.065	0.017	0.011	0.012	0.035	0.159	0.134	0.028	0.013	0.016	0.007	0.038
t12	0.003	0.019	0.014	0.018	0.017	0	0.005	0.014	0.007	0.031	0.012	0.063	0.015	0.011	0.016	0.019	0.021	0.001	0.045	0.008	0.047	0.003	0.013	0.004	0.012	0.018	0.075	0.019	0.458	0.012
t23	0.059	0.141	0.014	0.022	0.021	0.348	0.002	0.049	0.019	0.02	0.039	0.012	0.007	0.046	0.018	0.015	0.014	0.004	0.007	0.04	0.006	0.016	0.018	0.004	0.016	0.017	0.004	0.011	0.003	0.009
t39	0.122	0.012	0.015	0.013	0.013	0.04	0.002	0.009	0.017	0.036	0.01	0.009	0.003	0.006	0.015	0.015	0.013	0.007	0.008	0.015	0.012	0.014	0.033	0.006	0.048	0.012	0.017	0.01	0.457	0.013
t6	0.007	0.033	0.034	0.017	0.029	0.038	0.032	0.082	0.027	0.017	0.021	0.098	0.024	0.062	0.03	0.033	0.02	0.023	0.018	0.007	0.075	0.028	0.035	0.026	0.019	0.038	0.022	0.024	0.04	0.038
t22	0.007	0.02	0.023	0.016	0.027	0.002	0	0.006	0.015	0.024	0.025	0.154	0.012	0.012	0.02	0.022	0.022	0.009	0.005	0.028	0.069	0.076	0.022	0.086	0.013	0.013	0.02	0.036	0.181	0.033
t17	0.001	0.02	0.019	0.031	0.024	0.005	0.01	0.021	0.012	0.043	0.029	0.021	0.013	0.027	0.031	0.025	0.021	0.003	0.004	0.038	0.026	0.012	0.036	0.023	0.012	0.019	0.014	0.023	0.411	0.024
