feature_1	feature_2	feature_3	feature_4	feature_5	feature_6	feature_7	feature_8	feature_9	feature_10	feature_11	feature_12	feature_13	feature_14	feature_15	feature_16	feature_17	feature_18	feature_19	feature_20	feature_21	feature_22	feature_23	feature_24	feature_25	feature_26	feature_27	feature_28	feature_29	feature_30
t14	-1.122	0.192	0.014	0.071	0.179	0.491	-0.825	-0.83	0.23	0.02	0.366	-0.957	-0.099	0.5	0.067	0.032	0.006	-0.011	-0.337	0.282	-0.004	-0.104	0.141	0.362	0.604	-0.142	-0.302	-0.146	1.153	0.169
t32	-1.585	0.278	0.052	-0.012	0.221	0.157	-1.281	0.132	0.322	0.456	0.403	-0.037	-0.139	0.344	0.029	0.033	0.001	0.368	-0.605	0.301	-0.302	-0.337	0.088	0.415	0.786	0.008	-0.525	-0.122	0.321	0.232
t2	-0.667	0.414	0.033	0.004	0.129	0.838	-0.63	-0.451	0.261	0.156	0.2	-0.317	-0.244	0.189	0.047	0.008	0.068	-0.378	-0.17	0.325	-0.298	-0.173	0.277	0.187	0.555	0.02	-0.295	-0.23	0.11	0.033
t15	-0.408	0.635	0.024	0.079	0.17	-0.007	-1.138	-0.185	0.042	0.341	0.228	-0.627	-0.345	0.224	0.047	0.1	-0.01	-0.394	-0.495	0.088	-0.066	-0.596	0.423	0.467	0.567	0.044	0.094	-0.059	0.576	0.182
t19	-1.2	0.388	0.012	-0.006	0.044	-0.097	-0.35	-0.364	0.306	0.317	0.396	-0.965	-0.191	0.325	0.083	0.023	0.07	0.413	-0.487	0.469	-0.014	-0.163	0.33	0.311	0.227	-0.086	-0.199	-0.125	0.384	0.151
t28	-0.895	0.492	-0.023	-0.045	0.225	0.102	-0.981	-0.102	0.088	0.396	0.272	-0.633	-0.095	0.172	0.053	0.002	0.124	-0.059	-0.014	0.087	-0.042	-0.216	0.026	0.617	0.289	0.092	-0.224	-0.084	0.315	0.062
t49	-1.208	0.651	0.004	0.08	0.091	0.148	-0.696	0.331	0.097	0.298	0.141	-0.562	-0.179	0.233	0.101	0.056	-0.049	0.067	-0.444	0.059	-0.365	-0.219	0.35	0.081	0.766	0.047	-0.416	-0.131	0.435	0.234
t40	-0.999	0.559	0.058	0.116	0.252	0.114	-0.505	-0.115	0.253	0.131	0.4	-0.93	-0.084	0.509	0.096	0.147	0.136	-0.487	-0.376	0.096	-0.234	-0.508	0.318	0.101	0.398	-0.077	-0.149	-0.04	0.621	0.2
t24	-0.657	0.491	-0.009	-0.055	0.141	-0.056	-0.955	0.876	0.234	0.195	0.342	0.059	-0.049	0.297	-0.037	0.041	0.024	-0.248	-0.584	-0.064	-0.301	-0.352	0.022	0.499	0.643	-0.204	-0.446	-0.075	0.279	-0.05
t4	-0.665	0.236	-0.012	-0.037	0.279	-0.349	-0.111	0.757	0.073	0.386	0.119	-1.012	-0.14	0.099	0.003	-0.004	-0.032	-0.36	-0.4	0.402	-0.31	-0.682	0.021	0.167	0.689	0.157	-0.225	-0.082	1.062	-0.029
t30	-1.309	0.6	0.053	-0.044	0.054	-0.415	-0.935	-0.092	0.109	0.211	0.411	-0.315	-0.21	0.308	0.051	0.012	0.154	-0.057	-0.497	0.238	0.058	-0.116	-0.035	0.218	1.064	-0.029	-0.618	-0.059	1.109	0.083
t50	-1.194	0.348	-0.044	-0.021	0.021	1.144	-0.554	0.188	0.1	0.083	0.07	-0.512	-0.174	0.232	0.031	-0.027	-0.124	-0.553	-0.464	0.113	-0.003	-0.152	0.279	0.473	0.645	0.013	-0.312	-0.171	0.342	0.222
t41	-1.165	0.481	-0.044	0.004	0.067	-0.078	-1.586	-0.023	0.099	0.159	0.097	-0.881	-0.223	0.282	0.039	-0.024	0.063	-0.036	-0.392	-0.006	0.435	-0.125	0.488	0.969	0.824	0.011	-0.246	-0.111	0.763	0.161
t46	-0.847	0.077	0.075	0.033	0.159	0.171	-1.127	0.138	0.429	0.228	0.24	-0.62	-0.405	0.015	0.111	0.105	0.023	0.098	-0.082	0.099	-0.24	-0.333	0.246	0.597	0.806	0.066	-0.422	-0.14	0.266	0.235
t12	-0.971	0.333	-0.002	0.073	0.162	-0.459	-1.055	0.097	0.01	0.357	0.16	0.008	-0.155	0.149	0.065	0.099	0.099	-0.649	0.011	-0.083	0.19	-0.582	0.212	-0.061	0.516	0.052	0.219	-0.043	1.176	0.07
t23	-0.622	0.78	-0.021	0.085	0.162	0.585	-1.166	0.272	0.17	0.253	0.379	-0.483	-0.307	0.453	0.069	0.04	-0.022	-0.352	-0.513	0.283	-0.22	-0.166	0.185	0.104	0.521	-0.013	-0.457	-0.159	0.171	-0.013
t39	-0.194	0.235	0.005	0.001	0.08	0.201	-1.26	-0.083	0.144	0.463	0.11	-0.567	-0.507	-0.007	0.045	0.032	0.021	-0.141	-0.487	0.152	-0.135	-0.239	0.336	0.128	0.781	-0.054	-0.199	-0.164	1.259	0.046
t6	-1.057	0.329	0.05	-0.102	0.125	0.026	-0.739	0.317	0.107	0.109	0.139	-0.14	-0.16	0.417	0.057	0.071	-0.039	-0.005	-0.432	-0.206	0.154	-0.222	0.19	0.322	0.386	0.067	-0.294	-0.111	0.485	0.156
t22	-0.856	0.289	0.045	-0.025	0.186	-0.235	-1.744	-0.173	0.12	0.217	0.258	0.147	-0.284	0.109	0.051	0.063	0.042	-0.189	-0.624	0.15	0.214	0.127	0.257	0.545	0.455	-0.119	-0.179	0.037	0.88	0.235
t17	-1.411	0.274	0.005	0.134	0.173	0.054	-0.925	0.133	0.051	0.36	0.328	-0.353	-0.25	0.32	0.165	0.093	0.024	-0.472	-0.634	0.234	-0.03	-0.311	0.393	0.317	0.448	-0.016	-0.256	-0.073	1.063	0.161
t34	0.003	0.345	-0.05	-0.141	0.22	-0.139	-0.485	-0.188	0.054	0.22	0.132	-1.32	-0.168	0.485	0.022	0.023	0.151	-0.341	-0.591	0.297	0.388	-0.514	0.201	0.723	0.803	-0.132	-0.281	-0.162	0.426	0.02
t42	-0.964	0.161	0.061	-0.006	0.197	-0.086	-1.098	0.11	0.249	0.263	0.238	-1.032	-0.105	0.678	0.107	0.087	0.198	0.048	-0.376	0.034	-0.218	-0.061	0.429	-0.152	0.688	-0.038	-0.618	-0.051	0.901	0.356
