V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	V15	V16	V17	V18	V19	V20	V21	V22	V23	V24	V25	V26	V27	V28	V29	V30
t129	0.036	0.069	0.008	0.018	0.031	0.008	0.021	0.029	0.042	0.13	0.03	0.064	0.017	0.021	0.059	0.02	0.009	0.024	0.018	0.071	0.045	0.067	0.038	0.007	0.035	0.038	0.004	0.028	0.005	0.007
t42	0.026	0.038	0.019	0.014	0.02	0.015	0.005	0.032	0.06	0.011	0.027	0.009	0.003	0.059	0.038	0.037	0.011	0.014	0.005	0.25	0.033	0.038	0.083	0.007	0.016	0.043	0.004	0.034	0.006	0.043
t74	0.03	0.024	0.003	0.011	0.047	0.182	0.019	0.019	0.01	0.085	0.012	0.149	0.016	0.006	0.019	0.009	0.006	0.021	0.083	0.007	0.028	0.027	0.017	0.005	0.055	0.041	0.023	0.013	0.007	0.025
t10	0.015	0.003	0.001	0.003	0.031	0.672	0.008	0.002	0.004	0.004	0.002	0.02	0.01	0.012	0.005	0.004	0.002	0.001	0.025	0.001	0.004	0.006	0.001	0.002	0.037	0.003	0.112	0.005	0.001	0.003
t177	0.006	0.019	0.001	0.004	0.006	0.001	0.004	0.008	0.005	0.697	0.01	0.075	0.002	0.001	0.006	0.003	0.001	0.036	0.011	0.008	0.016	0.022	0.016	0.001	0.004	0.018	0.001	0.003	0.009	0.006
t31	0.047	0.025	0.014	0.016	0.042	0.078	0.011	0.023	0.02	0.004	0.014	0.026	0.008	0.027	0.051	0.015	0.012	0.018	0.142	0.055	0.025	0.012	0.058	0.008	0.066	0.062	0.04	0.029	0.006	0.045
t125	0.054	0.021	0.013	0.014	0.034	0.053	0.008	0.012	0.027	0.023	0.017	0.028	0.006	0.048	0.041	0.022	0.013	0.036	0.162	0.09	0.028	0.019	0.039	0.009	0.034	0.041	0.036	0.026	0.011	0.036
t148	0.018	0.056	0.015	0.014	0.019	0.008	0.009	0.037	0.055	0.038	0.061	0.011	0.002	0.02	0.023	0.03	0.006	0.016	0.001	0.126	0.035	0.072	0.163	0.004	0.018	0.076	0.003	0.028	0.004	0.028
t4	0.012	0.025	0.003	0.008	0.01	0.109	0.007	0.007	0.008	0.477	0.02	0.043	0.004	0.026	0.007	0.008	0.003	0.018	0.004	0.022	0.021	0.054	0.018	0.003	0.017	0.014	0.014	0.009	0.018	0.01
t89	0.026	0.021	0.006	0.013	0.025	0.318	0.01	0.007	0.012	0.009	0.009	0.029	0.014	0.044	0.03	0.01	0.007	0.014	0.035	0.04	0.015	0.016	0.029	0.005	0.067	0.016	0.133	0.022	0.006	0.012
t59	0.035	0.024	0.003	0.01	0.039	0.04	0.021	0.02	0.007	0.029	0.005	0.174	0.018	0.006	0.039	0.004	0.006	0.009	0.349	0.004	0.024	0.013	0.008	0.005	0.051	0.018	0.014	0.01	0.006	0.011
t70	0.019	0.002	0.002	0.004	0.038	0.48	0.01	0.002	0.006	0.001	0.003	0.007	0.009	0.018	0.006	0.006	0.002	0.002	0.025	0.001	0.003	0.003	0.003	0.002	0.061	0.005	0.268	0.007	0	0.002
