V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	V15	V16	V17	V18	V19	V20	V21	V22	V23	V24	V25	V26	V27	V28	V29	V30
t172	0.008	0.021	0.012	0.002	0.001	0.005	0.011	0.344	0.003	0.01	0.006	0.039	0.009	0.007	0.003	0.02	0.016	0.039	0.015	0.005	0.001	0.02	0.01	0.002	0.325	0.031	0.001	0.005	0.023	0.006
t39	0.013	0.023	0.04	0.026	0.034	0.015	0.285	0.033	0.038	0.009	0.021	0.005	0.001	0.006	0.004	0.014	0.006	0.014	0.046	0.003	0.009	0.013	0.014	0.008	0.021	0.005	0.015	0.274	0.002	0.004
t189	0.009	0.033	0.038	0.029	0.518	0.006	0.012	0.025	0.039	0.004	0.02	0.004	0	0.007	0.01	0.012	0.009	0.095	0.01	0	0.008	0.01	0.026	0.01	0.008	0.002	0.018	0.033	0.001	0.004
t48	0.016	0.051	0.027	0.026	0.075	0.072	0.08	0.054	0.02	0.025	0.027	0.023	0.047	0.02	0.011	0.031	0.01	0.033	0.063	0.006	0.031	0.025	0.039	0.011	0.067	0.017	0.021	0.038	0.02	0.011
t63	0.001	0.002	0.004	0.001	0.002	0.002	0.858	0.009	0.002	0.003	0.003	0.001	0	0.001	0.001	0.001	0.001	0.001	0.032	0.004	0	0.002	0.001	0.001	0.018	0	0.003	0.049	0	0
t111	0.007	0.013	0.018	0.008	0.004	0.021	0.649	0.029	0.005	0.014	0.009	0.004	0.007	0.007	0.005	0.008	0.004	0.003	0.042	0.01	0.003	0.009	0.005	0.003	0.019	0.007	0.005	0.076	0.003	0.003
t13	0.014	0.029	0.016	0.011	0.001	0.03	0.115	0.055	0.012	0.017	0.021	0.031	0.102	0.026	0.003	0.037	0.007	0.016	0.067	0.03	0.005	0.029	0.025	0.006	0.156	0.042	0.013	0.067	0.009	0.008
t130	0.032	0.065	0.046	0.066	0.021	0.088	0.094	0.033	0.019	0.013	0.024	0.009	0.019	0.037	0.013	0.048	0.011	0.013	0.018	0.002	0.014	0.023	0.032	0.006	0.056	0.125	0.005	0.05	0.008	0.009
t87	0.01	0.024	0.018	0.007	0.012	0.019	0.025	0.19	0.013	0.016	0.013	0.04	0.006	0.011	0.004	0.022	0.013	0.037	0.055	0.003	0.005	0.02	0.023	0.004	0.346	0.018	0.004	0.021	0.014	0.007
t25	0.013	0.032	0.034	0.018	0.031	0.031	0.046	0.055	0.027	0.02	0.03	0.041	0.031	0.026	0.007	0.022	0.012	0.045	0.086	0.007	0.015	0.026	0.045	0.01	0.171	0.024	0.029	0.048	0.009	0.01
t14	0.016	0.055	0.041	0.024	0.013	0.04	0.067	0.033	0.007	0.025	0.024	0.013	0.217	0.061	0.022	0.03	0.012	0.021	0.029	0.019	0.011	0.032	0.024	0.008	0.031	0.06	0.012	0.027	0.013	0.014
t127	0.01	0.051	0.056	0.034	0.226	0.007	0.002	0.012	0.034	0.007	0.036	0.013	0.036	0.034	0.014	0.019	0.011	0.164	0.011	0.002	0.03	0.023	0.053	0.016	0.007	0.014	0.044	0.017	0.003	0.013
t24	0.007	0.03	0.025	0.009	0.144	0.027	0.15	0.12	0.006	0.029	0.018	0.016	0.014	0.012	0.018	0.011	0.012	0.046	0.075	0.011	0.006	0.017	0.021	0.009	0.103	0.004	0.013	0.018	0.019	0.009
t145	0.01	0.03	0.042	0.011	0.024	0.005	0.212	0.063	0.042	0.015	0.026	0.024	0.009	0.006	0.005	0.016	0.012	0.06	0.084	0.015	0.014	0.027	0.018	0.012	0.038	0.004	0.019	0.141	0.009	0.01
t84	0.018	0.061	0.019	0.012	0.009	0.083	0.063	0.101	0.005	0.034	0.014	0.014	0.22	0.029	0.014	0.043	0.01	0.019	0.029	0.024	0.012	0.03	0.015	0.005	0.021	0.021	0.005	0.016	0.045	0.011
t133	0.031	0.072	0.068	0.045	0.025	0.024	0.02	0.059	0.026	0.012	0.032	0.017	0.016	0.041	0.014	0.048	0.019	0.047	0.016	0.002	0.012	0.034	0.046	0.009	0.073	0.122	0.008	0.044	0.007	0.012
